"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Media and communication equipment workers","=""27-4000""","Summary","2.3","0.0","0.6","2.2","0.0","0.5","-0.1","-4.5","401","2"
"Broadcast, sound, and lighting technicians","=""27-4010""","Summary","1.3","0.0","0.9","1.2","0.0","0.8","-0.1","-6.2","402","3"
"Audio and video technicians","=""27-4011""","Line Item","1.0","0.0","1.1","0.9","0.0","1.0","0.0","-4.1","403","4"
"Sound engineering technicians","=""27-4014""","Line Item","0.2","0.0","1.0","0.2","0.0","0.9","0.0","-10.6","405","4"
"Lighting technicians","=""27-4015""","Line Item","0.1","0.0","1.1","0.1","0.0","1.0","0.0","-15.5","406","4"
"Photographers","=""27-4021""","Line Item","0.6","0.0","0.4","0.6","0.0","0.4","0.0","-4.9","407","3"
"Television, video, and film camera operators and editors","=""27-4030""","Summary","0.4","0.0","0.5","0.4","0.0","0.5","0.0","0.8","408","3"
"Camera operators, television, video, and film","=""27-4031""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","-6.8","409","4"
"Film and video editors","=""27-4032""","Line Item","0.2","0.0","0.5","0.2","0.0","0.5","0.0","6.2","410","4"
"Media and communication equipment workers, all other","=""27-4099""","Line Item","0.1","0.0","0.6","0.1","0.0","0.5","0.0","-2.6","411","3"
"Healthcare practitioners and technical occupations","=""29-0000""","Summary","12.2","0.1","0.1","13.4","0.1","0.1","1.3","10.4","412","1"
"Healthcare diagnosing or treating practitioners","=""29-1000""","Summary","4.3","0.0","0.1","4.5","0.0","0.1","0.2","4.5","413","2"
"Dietitians and nutritionists","=""29-1031""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","13.3","421","3"
"Pharmacists","=""29-1051""","Line Item","1.2","0.0","0.4","1.3","0.0","0.4","0.1","5.5","423","3"
"Veterinarians","=""29-1131""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","7.6","435","3"
"Registered nurses","=""29-1141""","Line Item","2.2","0.0","0.1","2.3","0.0","0.1","0.1","3.1","436","3"
"Nurse anesthetists","=""29-1151""","Line Item","0.1","0.0","0.3","0.2","0.0","0.3","0.0","7.2","437","3"
"Nurse practitioners","=""29-1171""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.5","439","3"
"Audiologists","=""29-1181""","Line Item","0.1","0.0","0.8","0.1","0.0","0.7","0.0","5.3","440","3"
"Physicians","=""29-1210""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","4.8","441","3"
"Physicians, all other","=""29-1229""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.6","454","4"
"Miscellaneous healthcare diagnosing or treating practitioners","=""29-1290""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","6.5","460","3"
"Health technologists and technicians","=""29-2000""","Summary","7.7","0.1","0.2","8.7","0.1","0.3","1.0","13.7","464","2"
"Clinical laboratory technologists and technicians","=""29-2010""","Line Item","1.1","0.0","0.3","1.2","0.0","0.3","0.1","5.4","465","3"
"Diagnostic related technologists and technicians","=""29-2030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.4","466","3"
"Emergency medical technicians and paramedics","=""29-2040""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","1.3","473","3"
"Emergency medical technicians","=""29-2042""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","1.0","474","4"
"Health practitioner support technologists and technicians","=""29-2050""","Summary","3.0","0.0","0.3","3.3","0.0","0.3","0.3","9.2","476","3"
"Pharmacy technicians","=""29-2052""","Line Item","2.8","0.0","0.6","3.1","0.0","0.6","0.3","9.4","478","4"
"Veterinary technologists and technicians","=""29-2056""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","5.9","481","4"
"Licensed practical and licensed vocational nurses","=""29-2061""","Line Item","0.2","0.0","0.0","0.3","0.0","0.0","0.0","4.5","483","3"
"Medical records specialists","=""29-2072""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","8.7","484","3"
"Opticians, dispensing","=""29-2081""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","7.0","485","3"
"Miscellaneous health technologists and technicians","=""29-2090""","Summary","2.8","0.0","1.4","3.4","0.0","1.6","0.7","24.3","486","3"
"Orthotists and prosthetists","=""29-2091""","Line Item","2.5","0.0","27.9","3.2","0.0","30.6","0.7","26.1","487","4"
"Hearing aid specialists","=""29-2092""","Line Item","0.1","0.0","1.2","0.1","0.0","1.1","0.0","5.2","488","4"
"Health technologists and technicians, all other","=""29-2099""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","1.3","489","4"
"Other healthcare practitioners and technical occupations","=""29-9000""","Summary","0.2","0.0","0.1","0.2","0.0","0.1","0.0","9.9","490","2"
"Health information technologists and medical registrars","=""29-9021""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","16.1","491","3"
"Miscellaneous health practitioners and technical workers","=""29-9090""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.6","492","3"
"Healthcare practitioners and technical workers, all other","=""29-9099""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","5.8","496","4"
"Healthcare support occupations","=""31-0000""","Summary","1.1","0.0","0.0","1.1","0.0","0.0","0.1","5.8","497","1"
"Other healthcare support occupations","=""31-9000""","Summary","1.0","0.0","0.1","1.1","0.0","0.1","0.1","6.4","511","2"
"Miscellaneous healthcare support occupations","=""31-9090""","Summary","1.0","0.0","0.1","1.1","0.0","0.1","0.1","6.4","513","3"
"Dental assistants","=""31-9091""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","7.2","514","4"
"Medical assistants","=""31-9092""","Line Item","0.2","0.0","0.0","0.2","0.0","0.0","0.0","5.8","515","4"
"Medical equipment preparers","=""31-9093""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","5.9","516","4"
"Pharmacy aides","=""31-9095""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","7.4","518","4"
"Veterinary assistants and laboratory animal caretakers","=""31-9096""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.7","519","4"
"Healthcare support workers, all other","=""31-9099""","Line Item","0.4","0.0","0.3","0.4","0.0","0.3","0.0","7.0","521","4"
"Protective service occupations","=""33-0000""","Summary","11.4","0.1","0.3","11.0","0.1","0.3","-0.4","-3.9","522","1"
"Supervisors of protective service workers","=""33-1000""","Summary","0.8","0.0","0.2","0.8","0.0","0.2","0.0","0.4","523","2"
"First-line supervisors of firefighting and prevention workers","=""33-1021""","Line Item","0.1","0.0","0.2","0.1","0.0","0.1","0.0","1.8","527","3"
"Miscellaneous first-line supervisors, protective service workers","=""33-1090""","Summary","0.7","0.0","0.8","0.7","0.0","0.7","0.0","0.2","528","3"
"First-line supervisors of security workers","=""33-1091""","Line Item","0.5","0.0","0.7","0.5","0.0","0.7","0.0","-2.1","529","4"
"First-line supervisors of protective service workers, all other","=""33-1099""","Line Item","0.2","0.0","0.9","0.2","0.0","0.9","0.0","6.2","530","4"
"Firefighting and prevention workers","=""33-2000""","Summary","0.5","0.0","0.1","0.5","0.0","0.1","0.0","1.8","531","2"
"Firefighters","=""33-2011""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.0","2.1","532","3"
"Fire inspectors","=""33-2020""","Summary","0.1","0.0","0.5","0.1","0.0","0.4","0.0","0.6","533","3"
"Fire inspectors and investigators","=""33-2021""","Line Item","0.1","0.0","0.5","0.1","0.0","0.5","0.0","0.6","534","4"
"Other protective service workers","=""33-9000""","Summary","10.1","0.1","0.6","9.7","0.1","0.5","-0.5","-4.5","546","2"
"Private detectives and investigators","=""33-9021""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","4.0","548","3"
"Security guards and gambling surveillance officers","=""33-9030""","Summary","9.6","0.1","0.8","9.2","0.1","0.7","-0.5","-4.9","549","3"
"Security guards","=""33-9032""","Line Item","9.6","0.1","0.8","9.2","0.1","0.7","-0.5","-4.9","551","4"
"Miscellaneous protective service workers","=""33-9090""","Summary","0.3","0.0","0.1","0.4","0.0","0.1","0.0","2.6","552","3"
"Crossing guards and flaggers","=""33-9091""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","1.0","553","4"
"Protective service workers, all other","=""33-9099""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","4.0","557","4"
"Food preparation and serving related occupations","=""35-0000""","Summary","134.6","1.0","1.0","162.4","1.2","1.1","27.8","20.6","558","1"
"Supervisors of food preparation and serving workers","=""35-1000""","Summary","10.6","0.1","0.8","12.7","0.1","0.9","2.1","19.7","559","2"
"Chefs and head cooks","=""35-1011""","Line Item","2.1","0.0","1.1","2.5","0.0","1.2","0.4","18.8","560","3"
"First-line supervisors of food preparation and serving workers","=""35-1012""","Line Item","8.5","0.1","0.7","10.2","0.1","0.8","1.7","20.0","561","3"
"Cooks and food preparation workers","=""35-2000""","Summary","28.5","0.2","0.8","33.8","0.3","0.9","5.3","18.5","562","2"
"Cooks","=""35-2010""","Summary","14.1","0.1","0.5","17.8","0.1","0.6","3.7","26.0","563","3"
"Cooks, fast food","=""35-2011""","Line Item","1.1","0.0","0.2","1.2","0.0","0.2","0.2","17.1","564","4"
"Cooks, institution and cafeteria","=""35-2012""","Line Item","0.8","0.0","0.2","0.9","0.0","0.2","0.0","4.3","565","4"
"Cooks, restaurant","=""35-2014""","Line Item","9.6","0.1","0.7","12.6","0.1","0.8","3.0","31.4","567","4"
"Cooks, short order","=""35-2015""","Line Item","1.3","0.0","1.0","1.6","0.0","1.3","0.3","21.0","568","4"
"Cooks, all other","=""35-2019""","Line Item","1.3","0.0","6.3","1.4","0.0","6.7","0.2","12.2","569","4"
"Food preparation workers","=""35-2021""","Line Item","14.3","0.1","1.6","15.9","0.1","1.8","1.6","11.2","570","3"
"Food and beverage serving workers","=""35-3000""","Summary","83.2","0.6","1.2","101.2","0.8","1.4","18.0","21.6","571","2"
"Bartenders","=""35-3011""","Line Item","36.3","0.3","4.9","46.3","0.4","5.8","10.0","27.7","572","3"
"Fast food and counter workers","=""35-3023""","Line Item","24.1","0.2","0.6","25.9","0.2","0.7","1.9","7.7","573","3"
"Waiters and waitresses","=""35-3031""","Line Item","22.2","0.2","1.0","28.1","0.2","1.2","5.9","26.6","574","3"
"Food servers, nonrestaurant","=""35-3041""","Line Item","0.7","0.0","0.3","0.9","0.0","0.3","0.2","25.9","575","3"
"Other food preparation and serving related workers","=""35-9000""","Summary","12.3","0.1","0.8","14.7","0.1","0.9","2.4","19.7","576","2"
"Dining room and cafeteria attendants and bartender helpers","=""35-9011""","Line Item","3.3","0.0","0.7","4.1","0.0","0.8","0.9","26.6","577","3"
"Dishwashers","=""35-9021""","Line Item","5.6","0.0","1.2","6.3","0.0","1.3","0.7","13.0","578","3"
"Hosts and hostesses, restaurant, lounge, and coffee shop","=""35-9031""","Line Item","2.6","0.0","0.6","3.3","0.0","0.8","0.7","26.5","579","3"
"Food preparation and serving related workers, all other","=""35-9099""","Line Item","0.8","0.0","1.0","1.0","0.0","1.0","0.1","15.8","580","3"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","78.5","0.6","1.4","82.0","0.6","1.4","3.5","4.4","581","1"
"Supervisors of building and grounds cleaning and maintenance workers","=""37-1000""","Summary","1.7","0.0","0.4","1.9","0.0","0.4","0.1","6.5","582","2"
"First-line supervisors of housekeeping and janitorial workers","=""37-1011""","Line Item","1.7","0.0","0.7","1.8","0.0","0.7","0.1","6.1","583","3"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers","=""37-1012""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","16.1","584","3"
"Building cleaning and pest control workers","=""37-2000""","Summary","73.9","0.6","1.9","77.0","0.6","1.9","3.1","4.2","585","2"
"Building cleaning workers","=""37-2010""","Summary","73.8","0.6","2.0","76.9","0.6","2.0","3.1","4.2","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","73.0","0.6","3.0","76.1","0.6","3.0","3.1","4.2","587","4"
"Maids and housekeeping cleaners","=""37-2012""","Line Item","0.6","0.0","0.0","0.6","0.0","0.0","0.0","4.4","588","4"
"Building cleaning workers, all other","=""37-2019""","Line Item","0.2","0.0","1.4","0.2","0.0","1.4","0.0","9.2","589","4"
"Pest control workers","=""37-2021""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","8.5","590","3"
"Grounds maintenance workers","=""37-3000""","Summary","2.9","0.0","0.2","3.2","0.0","0.2","0.2","8.5","591","2"
"Landscaping and groundskeeping workers","=""37-3011""","Line Item","2.6","0.0","0.2","2.9","0.0","0.2","0.2","8.7","592","3"
"Pesticide handlers, sprayers, and applicators, vegetation","=""37-3012""","Line Item","0.2","0.0","0.8","0.2","0.0","0.8","0.0","8.1","593","3"
"Grounds maintenance workers, all other","=""37-3019""","Line Item","0.1","0.0","0.5","0.1","0.0","0.5","0.0","2.2","595","3"
"Personal care and service occupations","=""39-0000""","Summary","1.8","0.0","0.0","2.0","0.0","0.0","0.3","15.2","596","1"
"Supervisors of personal care and service workers","=""39-1000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","17.7","597","2"
"First-line supervisors of entertainment and recreation workers","=""39-1010""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","22.2","598","3"
"First-line supervisors of entertainment and recreation workers, except gambling services","=""39-1014""","Line Item","0.1","0.0","0.0","0.1","0.0","0.1","0.0","22.2","600","4"
"Animal care and service workers","=""39-2000""","Summary","0.4","0.0","0.1","0.5","0.0","0.1","0.0","7.8","602","2"
"Animal caretakers","=""39-2021""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.0","8.4","604","3"
"Entertainment attendants and related workers","=""39-3000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","13.7","605","2"
"Miscellaneous entertainment attendants and related workers","=""39-3090""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","13.5","612","3"
"Amusement and recreation attendants","=""39-3091""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","13.6","613","4"
"Funeral service workers","=""39-4000""","Summary","0.1","0.0","0.2","0.1","0.0","0.2","0.0","3.6","617","2"
"Embalmers and crematory operators","=""39-4010""","Summary","0.1","0.0","1.2","0.1","0.0","1.2","0.0","3.2","618","3"
"Crematory operators","=""39-4012""","Line Item","0.1","0.0","2.4","0.1","0.0","2.4","0.0","3.2","620","4"
"Tour and travel guides","=""39-7000""","Summary","0.7","0.0","1.3","0.9","0.0","1.5","0.2","25.1","635","2"
"Tour and travel guides","=""39-7010""","Line Item","0.7","0.0","1.3","0.9","0.0","1.5","0.2","25.1","636","3"
"Other personal care and service workers","=""39-9000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","4.2","637","2"
"Childcare workers","=""39-9011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.4","638","3"
"Recreation and fitness workers","=""39-9030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.5","639","3"
"Recreation workers","=""39-9032""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","4.5","641","4"
"Sales and related occupations","=""41-0000""","Summary","420.2","3.2","2.9","424.2","3.3","3.0","4.1","1.0","644","1"
"Supervisors of sales workers","=""41-1000""","Summary","21.2","0.2","1.2","22.5","0.2","1.3","1.3","5.9","645","2"
"First-line supervisors of retail sales workers","=""41-1011""","Line Item","6.7","0.1","0.5","7.1","0.1","0.5","0.5","7.2","646","3"
"First-line supervisors of non-retail sales workers","=""41-1012""","Line Item","14.6","0.1","4.2","15.4","0.1","4.4","0.8","5.3","647","3"
"Retail sales workers","=""41-2000""","Summary","75.3","0.6","1.0","76.6","0.6","1.0","1.3","1.8","648","2"
"Cashiers","=""41-2010""","Summary","23.1","0.2","0.7","20.8","0.2","0.7","-2.4","-10.3","649","3"
"Cashiers","=""41-2011""","Line Item","23.1","0.2","0.7","20.8","0.2","0.7","-2.4","-10.3","650","4"
"Counter and rental clerks and parts salespersons","=""41-2020""","Summary","3.1","0.0","0.5","3.2","0.0","0.5","0.0","1.0","652","3"
"Counter and rental clerks","=""41-2021""","Line Item","1.2","0.0","0.3","1.3","0.0","0.3","0.0","1.6","653","4"
"Parts salespersons","=""41-2022""","Line Item","1.9","0.0","0.7","1.9","0.0","0.7","0.0","0.6","654","4"
"Retail salespersons","=""41-2031""","Line Item","49.0","0.4","1.3","52.7","0.4","1.4","3.7","7.5","655","3"
"Sales representatives, services","=""41-3000""","Summary","18.7","0.1","0.8","17.9","0.1","0.7","-0.8","-4.1","656","2"
"Advertising sales agents","=""41-3011""","Line Item","0.2","0.0","0.1","0.1","0.0","0.1","0.0","-12.1","657","3"
"Securities, commodities, and financial services sales agents","=""41-3031""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-1.8","659","3"
"Sales representatives of services, except advertising, insurance, financial services, and travel","=""41-3091""","Line Item","18.4","0.1","1.6","17.7","0.1","1.5","-0.7","-4.0","661","3"
"Sales representatives, wholesale and manufacturing","=""41-4000""","Summary","275.2","2.1","16.4","273.9","2.1","16.1","-1.3","-0.5","662","2"
"Sales representatives, wholesale and manufacturing, technical and scientific products","=""41-4011""","Line Item","35.8","0.3","11.0","35.6","0.3","10.6","-0.2","-0.5","663","3"
"Sales representatives, wholesale and manufacturing, except technical and scientific products","=""41-4012""","Line Item","239.4","1.9","17.7","238.3","1.8","17.4","-1.1","-0.5","664","3"
"Other sales and related workers","=""41-9000""","Summary","29.8","0.2","3.2","33.3","0.3","3.6","3.5","11.9","665","2"
"Models, demonstrators, and product promoters","=""41-9010""","Summary","11.7","0.1","19.6","14.9","0.1","23.7","3.1","26.6","666","3"
"Demonstrators and product promoters","=""41-9011""","Line Item","11.7","0.1","20.8","14.9","0.1","25.1","3.1","26.6","667","4"
"Real estate brokers and sales agents","=""41-9020""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.4","669","3"
"Real estate sales agents","=""41-9022""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","2.3","671","4"
"Sales engineers","=""41-9031""","Line Item","12.0","0.1","20.1","12.2","0.1","19.3","0.2","1.6","672","3"
"Telemarketers","=""41-9041""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","-14.7","673","3"
"Miscellaneous sales and related workers","=""41-9090""","Summary","5.7","0.0","3.4","6.0","0.0","3.5","0.2","4.2","674","3"
"Sales and related workers, all other","=""41-9099""","Line Item","5.7","0.0","4.2","6.0","0.0","4.2","0.2","4.2","676","4"
"Office and administrative support occupations","=""43-0000""","Summary","986.3","7.6","5.0","913.7","7.0","4.8","-72.7","-7.4","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","69.0","0.5","4.4","62.9","0.5","4.2","-6.1","-8.8","678","2"
"First-line supervisors of office and administrative support workers","=""43-1011""","Line Item","69.0","0.5","4.4","62.9","0.5","4.2","-6.1","-8.8","679","3"
"Communications equipment operators","=""43-2000""","Summary","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-27.2","680","2"
"Switchboard operators, including answering service","=""43-2011""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-30.3","681","3"
"Financial clerks","=""43-3000""","Summary","131.2","1.0","4.5","119.0","0.9","4.3","-12.2","-9.3","684","2"
"Bill and account collectors","=""43-3011""","Line Item","2.3","0.0","1.2","2.1","0.0","1.2","-0.2","-8.1","685","3"
"Billing and posting clerks","=""43-3021""","Line Item","10.0","0.1","2.2","9.1","0.1","2.0","-0.9","-8.8","686","3"
"Bookkeeping, accounting, and auditing clerks","=""43-3031""","Line Item","101.4","0.8","6.1","92.6","0.7","5.9","-8.9","-8.7","687","3"
"Payroll and timekeeping clerks","=""43-3051""","Line Item","8.1","0.1","5.0","6.6","0.1","4.8","-1.5","-18.3","689","3"
"Procurement clerks","=""43-3061""","Line Item","9.2","0.1","14.5","8.4","0.1","14.3","-0.8","-8.4","690","3"
"Financial clerks, all other","=""43-3099""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","4.6","692","3"
"Information and record clerks","=""43-4000""","Summary","178.9","1.4","3.1","160.4","1.2","2.9","-18.5","-10.3","693","2"
"Correspondence clerks","=""43-4021""","Line Item","0.1","0.0","1.2","0.1","0.0","1.2","0.0","-9.1","695","3"
"Credit authorizers, checkers, and clerks","=""43-4041""","Line Item","0.3","0.0","2.3","0.3","0.0","2.2","0.0","-8.4","697","3"
"Customer service representatives","=""43-4051""","Line Item","136.2","1.1","4.6","122.9","0.9","4.4","-13.3","-9.8","698","3"
"File clerks","=""43-4071""","Line Item","2.9","0.0","3.4","2.4","0.0","3.3","-0.5","-18.2","700","3"
"Order clerks","=""43-4151""","Line Item","15.7","0.1","14.8","12.6","0.1","14.5","-3.1","-19.6","706","3"
"Human resources assistants, except payroll and timekeeping","=""43-4161""","Line Item","8.0","0.1","7.7","7.3","0.1","7.4","-0.6","-7.9","707","3"
"Receptionists and information clerks","=""43-4171""","Line Item","14.7","0.1","1.4","13.8","0.1","1.3","-1.0","-6.5","708","3"
"Information and record clerks, all other","=""43-4199""","Line Item","0.8","0.0","0.5","0.9","0.0","0.5","0.0","3.0","710","3"
"Material recording, scheduling, dispatching, and distributing workers","=""43-5000""","Summary","364.1","2.8","14.7","345.6","2.6","14.2","-18.5","-5.1","711","2"
"Cargo and freight agents","=""43-5011""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","6.3","712","3"
"Couriers and messengers","=""43-5021""","Line Item","0.9","0.0","0.4","0.9","0.0","0.4","0.0","4.4","713","3"
"Dispatchers","=""43-5030""","Summary","7.2","0.1","2.3","7.1","0.1","2.2","-0.1","-1.9","714","3"
"Dispatchers, except police, fire, and ambulance","=""43-5032""","Line Item","7.2","0.1","3.3","7.1","0.1","3.3","-0.1","-1.9","716","4"
"Production, planning, and expediting clerks","=""43-5061""","Line Item","119.9","0.9","30.0","122.2","0.9","29.2","2.4","2.0","722","3"
"Shipping, receiving, and inventory clerks","=""43-5071""","Line Item","228.5","1.8","26.9","208.2","1.6","26.5","-20.3","-8.9","723","3"
"Weighers, measurers, checkers, and samplers, recordkeeping","=""43-5111""","Line Item","7.5","0.1","14.4","7.0","0.1","14.0","-0.5","-6.5","724","3"
"Secretaries and administrative assistants","=""43-6000""","Summary","94.4","0.7","2.8","92.1","0.7","2.7","-2.3","-2.4","725","2"
"Executive secretaries and executive administrative assistants","=""43-6011""","Line Item","19.0","0.1","3.7","18.7","0.1","3.6","-0.3","-1.7","726","3"
"Legal secretaries and administrative assistants","=""43-6012""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-5.8","727","3"
"Medical secretaries and administrative assistants","=""43-6013""","Line Item","0.6","0.0","0.1","0.6","0.0","0.1","0.0","4.7","728","3"
"Secretaries and administrative assistants, except legal, medical, and executive","=""43-6014""","Line Item","74.7","0.6","3.8","72.7","0.6","3.7","-2.0","-2.6","729","3"
"Other office and administrative support workers","=""43-9000""","Summary","148.7","1.1","4.3","133.6","1.0","4.2","-15.1","-10.1","730","2"
"Data entry and information processing workers","=""43-9020""","Summary","6.3","0.0","3.1","4.5","0.0","3.0","-1.9","-29.7","731","3"
"Data entry keyers","=""43-9021""","Line Item","6.3","0.0","3.8","4.4","0.0","3.6","-1.8","-29.5","732","4"
"Word processors and typists","=""43-9022""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-39.1","733","4"
"Desktop publishers","=""43-9031""","Line Item","0.3","0.0","5.0","0.2","0.0","4.4","-0.1","-23.7","734","3"
"Insurance claims and policy processing clerks","=""43-9041""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","6.9","735","3"
"Mail clerks and mail machine operators, except postal service","=""43-9051""","Line Item","4.4","0.0","6.2","3.4","0.0","5.2","-1.0","-22.2","736","3"
"Office clerks, general","=""43-9061""","Line Item","132.3","1.0","5.0","120.8","0.9","4.8","-11.5","-8.7","737","3"
"Office machine operators, except computer","=""43-9071""","Line Item","1.1","0.0","3.6","0.8","0.0","3.2","-0.3","-23.9","738","3"
"Proofreaders and copy markers","=""43-9081""","Line Item","0.2","0.0","3.7","0.2","0.0","3.3","0.0","-12.9","739","3"
"Office and administrative support workers, all other","=""43-9199""","Line Item","3.8","0.0","1.8","3.4","0.0","1.8","-0.4","-9.3","741","3"
"Farming, fishing, and forestry occupations","=""45-0000""","Summary","32.5","0.3","3.3","34.1","0.3","3.5","1.7","5.1","742","1"
"Supervisors of farming, fishing, and forestry workers","=""45-1000""","Summary","2.1","0.0","3.0","2.4","0.0","3.4","0.3","14.7","743","2"
"First-line supervisors of farming, fishing, and forestry workers","=""45-1011""","Line Item","2.1","0.0","3.0","2.4","0.0","3.4","0.3","14.7","744","3"
"Agricultural workers","=""45-2000""","Summary","23.3","0.2","2.8","24.4","0.2","3.0","1.2","5.0","745","2"
"Agricultural inspectors","=""45-2011""","Line Item","1.3","0.0","9.4","1.4","0.0","9.8","0.1","7.8","746","3"
"Animal breeders","=""45-2021""","Line Item","0.1","0.0","1.1","0.1","0.0","1.2","0.0","6.5","747","3"
"Graders and sorters, agricultural products","=""45-2041""","Line Item","9.7","0.1","30.1","9.2","0.1","30.2","-0.4","-4.6","748","3"
"Miscellaneous agricultural workers","=""45-2090""","Summary","12.3","0.1","1.6","13.8","0.1","1.8","1.5","12.4","749","3"
"Agricultural equipment operators","=""45-2091""","Line Item","1.5","0.0","2.3","1.6","0.0","2.4","0.2","12.5","750","4"
"Farmworkers and laborers, crop, nursery, and greenhouse","=""45-2092""","Line Item","7.9","0.1","1.6","9.2","0.1","1.9","1.2","15.4","751","4"
"Farmworkers, farm, ranch, and aquacultural animals","=""45-2093""","Line Item","2.5","0.0","1.2","2.5","0.0","1.3","0.1","2.5","752","4"
"Agricultural workers, all other","=""45-2099""","Line Item","0.4","0.0","3.5","0.4","0.0","3.8","0.0","11.5","753","4"
"Forest, conservation, and logging workers","=""45-4000""","Summary","7.0","0.1","11.5","7.2","0.1","12.3","0.2","2.8","756","2"
"Logging workers","=""45-4020""","Summary","7.0","0.1","14.0","7.2","0.1","15.0","0.2","2.8","758","3"
"Fallers","=""45-4021""","Line Item","0.3","0.0","3.9","0.3","0.0","4.1","0.0","-4.2","759","4"
"Logging equipment operators","=""45-4022""","Line Item","3.5","0.0","10.2","3.7","0.0","11.2","0.2","5.6","760","4"
"Log graders and scalers","=""45-4023""","Line Item","2.9","0.0","55.5","2.9","0.0","56.7","0.0","0.6","761","4"
"Logging workers, all other","=""45-4029""","Line Item","0.3","0.0","9.0","0.3","0.0","9.4","0.0","-2.9","762","4"
"Construction and extraction occupations","=""47-0000""","Summary","201.0","1.6","2.7","206.8","1.6","2.7","5.8","2.9","763","1"
"Supervisors of construction and extraction workers","=""47-1000""","Summary","13.9","0.1","1.6","14.3","0.1","1.6","0.4","2.9","764","2"
"First-line supervisors of construction trades and extraction workers","=""47-1011""","Line Item","13.9","0.1","1.6","14.3","0.1","1.6","0.4","2.9","765","3"
"Construction trades workers","=""47-2000""","Summary","177.6","1.4","3.2","182.7","1.4","3.1","5.2","2.9","766","2"
"Boilermakers","=""47-2011""","Line Item","1.1","0.0","9.5","1.1","0.0","10.0","0.0","3.7","767","3"
"Brickmasons, blockmasons, and stonemasons","=""47-2020""","Summary","2.0","0.0","2.4","2.0","0.0","2.3","0.0","-2.0","768","3"
