"Occupation Title","Occupation Code","Occupation Type","2023 Employment","2023 Percent of Industry","2023 Percent of Occupation","Projected 2033 Employment","Projected 2033 Percent of Industry","Projected 2033 Percent of Occupation","Employment Change, 2023-2033","Employment Percent Change, 2023-2033","Occupation Sort","Display Level"
"Child, family, and school social workers","=""21-1021""","Line Item","66.1","0.5","18.1","66.1","0.5","17.2","0.0","0.0","241","4"
"Healthcare social workers","=""21-1022""","Line Item","3.1","0.0","1.6","3.2","0.0","1.5","0.1","4.4","242","4"
"Mental health and substance abuse social workers","=""21-1023""","Line Item","2.1","0.0","1.7","2.1","0.0","1.6","0.0","1.7","243","4"
"Social workers, all other","=""21-1029""","Line Item","1.6","0.0","2.4","1.7","0.0","2.3","0.0","2.1","244","4"
"Miscellaneous community and social service specialists","=""21-1090""","Summary","40.5","0.3","5.4","41.4","0.3","5.1","0.9","2.2","245","3"
"Health education specialists","=""21-1091""","Line Item","4.2","0.0","6.8","4.4","0.0","6.7","0.2","4.7","246","4"
"Social and human service assistants","=""21-1093""","Line Item","18.0","0.1","4.1","18.2","0.1","3.9","0.3","1.5","248","4"
"Community health workers","=""21-1094""","Line Item","2.6","0.0","4.1","2.8","0.0","3.9","0.2","7.9","249","4"
"Community and social service specialists, all other","=""21-1099""","Line Item","15.7","0.1","15.2","15.9","0.1","14.5","0.2","1.4","250","4"
"Religious workers","=""21-2000""","Summary","7.9","0.1","1.6","8.0","0.1","1.6","0.1","1.4","251","2"
"Clergy","=""21-2011""","Line Item","4.2","0.0","1.6","4.3","0.0","1.6","0.0","0.8","252","3"
"Directors, religious activities and education","=""21-2021""","Line Item","2.9","0.0","1.8","2.9","0.0","1.8","0.1","2.4","253","3"
"Religious workers, all other","=""21-2099""","Line Item","0.8","0.0","1.0","0.8","0.0","1.0","0.0","1.1","254","3"
"Legal occupations","=""23-0000""","Summary","7.9","0.1","0.6","8.0","0.1","0.6","0.2","2.2","255","1"
"Lawyers, judges, and related workers","=""23-1000""","Summary","6.1","0.0","0.7","6.2","0.0","0.6","0.2","2.6","256","2"
"Lawyers and judicial law clerks","=""23-1010""","Summary","5.5","0.0","0.6","5.6","0.0","0.6","0.1","2.7","257","3"
"Lawyers","=""23-1011""","Line Item","5.5","0.0","0.6","5.6","0.0","0.6","0.1","2.7","258","4"
"Judges, magistrates, and other judicial workers","=""23-1020""","Summary","0.6","0.0","1.2","0.6","0.0","1.2","0.0","0.9","260","3"
"Arbitrators, mediators, and conciliators","=""23-1022""","Line Item","0.6","0.0","7.2","0.6","0.0","6.8","0.0","1.0","262","4"
"Legal support workers","=""23-2000""","Summary","1.8","0.0","0.4","1.8","0.0","0.4","0.0","0.9","264","2"
"Paralegals and legal assistants","=""23-2011""","Line Item","1.1","0.0","0.3","1.0","0.0","0.3","0.0","-1.1","265","3"
"Miscellaneous legal support workers","=""23-2090""","Summary","0.7","0.0","0.7","0.8","0.0","0.7","0.0","3.7","266","3"
"Legal support workers, all other","=""23-2099""","Line Item","0.7","0.0","1.5","0.7","0.0","1.5","0.0","3.6","268","4"
"Educational instruction and library occupations","=""25-0000""","Summary","8,179.1","56.9","85.4","8,283.3","57.3","85.1","104.2","1.3","269","1"
"Postsecondary teachers","=""25-1000""","Summary","1,685.5","11.7","97.9","1,799.1","12.4","97.8","113.6","6.7","270","2"
"Business teachers, postsecondary","=""25-1011""","Line Item","104.6","0.7","99.7","111.6","0.8","99.7","7.0","6.7","271","3"
"Math and computer science teachers, postsecondary","=""25-1020""","Summary","103.3","0.7","99.8","107.9","0.7","99.8","4.7","4.5","272","3"
"Computer science teachers, postsecondary","=""25-1021""","Line Item","44.9","0.3","99.8","47.6","0.3","99.8","2.7","6.1","273","4"
"Mathematical science teachers, postsecondary","=""25-1022""","Line Item","58.4","0.4","99.7","60.3","0.4","99.7","1.9","3.3","274","4"
"Engineering and architecture teachers, postsecondary","=""25-1030""","Summary","59.4","0.4","99.8","64.2","0.4","99.8","4.8","8.1","275","3"
"Architecture teachers, postsecondary","=""25-1031""","Line Item","10.6","0.1","99.7","11.0","0.1","99.7","0.3","3.2","276","4"
"Engineering teachers, postsecondary","=""25-1032""","Line Item","48.7","0.3","99.8","53.2","0.4","99.8","4.5","9.2","277","4"
"Life sciences teachers, postsecondary","=""25-1040""","Summary","75.1","0.5","98.8","80.9","0.6","98.8","5.9","7.8","278","3"
"Agricultural sciences teachers, postsecondary","=""25-1041""","Line Item","9.4","0.1","99.1","9.8","0.1","99.1","0.5","4.8","279","4"
"Biological science teachers, postsecondary","=""25-1042""","Line Item","64.1","0.4","98.8","69.4","0.5","98.7","5.3","8.3","280","4"
"Forestry and conservation science teachers, postsecondary","=""25-1043""","Line Item","1.6","0.0","98.5","1.7","0.0","98.5","0.1","4.9","281","4"
"Physical sciences teachers, postsecondary","=""25-1050""","Summary","66.3","0.5","99.4","68.6","0.5","99.4","2.4","3.6","282","3"
"Atmospheric, earth, marine, and space sciences teachers, postsecondary","=""25-1051""","Line Item","14.3","0.1","99.0","14.8","0.1","99.0","0.5","3.8","283","4"
"Chemistry teachers, postsecondary","=""25-1052""","Line Item","25.2","0.2","99.5","26.1","0.2","99.5","0.9","3.4","284","4"
"Environmental science teachers, postsecondary","=""25-1053""","Line Item","9.0","0.1","99.5","9.4","0.1","99.5","0.3","3.9","285","4"
"Physics teachers, postsecondary","=""25-1054""","Line Item","17.7","0.1","99.6","18.3","0.1","99.6","0.6","3.7","286","4"
"Social sciences teachers, postsecondary","=""25-1060""","Summary","149.5","1.0","99.7","155.4","1.1","99.7","5.9","3.9","287","3"
"Anthropology and archeology teachers, postsecondary","=""25-1061""","Line Item","6.2","0.0","99.3","6.5","0.0","99.2","0.2","3.8","288","4"
"Area, ethnic, and cultural studies teachers, postsecondary","=""25-1062""","Line Item","14.7","0.1","99.8","15.2","0.1","99.8","0.5","3.6","289","4"
"Economics teachers, postsecondary","=""25-1063""","Line Item","15.5","0.1","99.8","16.0","0.1","99.8","0.5","3.5","290","4"
"Geography teachers, postsecondary","=""25-1064""","Line Item","4.3","0.0","99.9","4.5","0.0","99.9","0.2","4.3","291","4"
"Political science teachers, postsecondary","=""25-1065""","Line Item","21.6","0.2","99.7","22.3","0.2","99.7","0.7","3.3","292","4"
"Psychology teachers, postsecondary","=""25-1066""","Line Item","50.9","0.4","99.7","53.5","0.4","99.7","2.6","5.0","293","4"
"Sociology teachers, postsecondary","=""25-1067""","Line Item","16.0","0.1","99.8","16.6","0.1","99.8","0.5","3.4","294","4"
"Social sciences teachers, postsecondary, all other","=""25-1069""","Line Item","20.2","0.1","99.8","20.8","0.1","99.8","0.6","2.7","295","4"
"Health teachers, postsecondary","=""25-1070""","Summary","354.7","2.5","94.8","420.2","2.9","94.7","65.5","18.5","296","3"
"Health specialties teachers, postsecondary","=""25-1071""","Line Item","268.5","1.9","94.5","318.6","2.2","94.4","50.1","18.7","297","4"
"Nursing instructors and teachers, postsecondary","=""25-1072""","Line Item","86.2","0.6","95.9","101.6","0.7","95.9","15.4","17.8","298","4"
"Education and library science teachers, postsecondary","=""25-1080""","Summary","82.2","0.6","99.6","85.0","0.6","99.6","2.7","3.3","299","3"
"Education teachers, postsecondary","=""25-1081""","Line Item","77.0","0.5","99.6","79.5","0.5","99.6","2.5","3.3","300","4"
"Library science teachers, postsecondary","=""25-1082""","Line Item","5.3","0.0","99.7","5.5","0.0","99.7","0.2","4.2","301","4"
"Law, criminal justice, and social work teachers, postsecondary","=""25-1110""","Summary","50.0","0.3","99.5","51.4","0.4","99.5","1.4","2.9","302","3"
"Criminal justice and law enforcement teachers, postsecondary","=""25-1111""","Line Item","16.0","0.1","99.3","16.4","0.1","99.3","0.5","2.9","303","4"
"Law teachers, postsecondary","=""25-1112""","Line Item","18.9","0.1","99.6","19.3","0.1","99.6","0.4","2.2","304","4"
"Social work teachers, postsecondary","=""25-1113""","Line Item","15.1","0.1","99.6","15.6","0.1","99.6","0.5","3.6","305","4"
"Arts, communications, history, and humanities teachers, postsecondary","=""25-1120""","Summary","309.3","2.2","99.5","315.6","2.2","99.5","6.3","2.0","306","3"
"Art, drama, and music teachers, postsecondary","=""25-1121""","Line Item","126.7","0.9","99.4","130.1","0.9","99.4","3.4","2.7","307","4"
"Communications teachers, postsecondary","=""25-1122""","Line Item","34.9","0.2","99.8","36.1","0.2","99.8","1.2","3.3","308","4"
"English language and literature teachers, postsecondary","=""25-1123""","Line Item","70.0","0.5","99.8","70.8","0.5","99.8","0.8","1.1","309","4"
"Foreign language and literature teachers, postsecondary","=""25-1124""","Line Item","25.8","0.2","99.0","26.1","0.2","98.9","0.2","0.9","310","4"
"History teachers, postsecondary","=""25-1125""","Line Item","25.7","0.2","99.7","25.9","0.2","99.7","0.2","0.9","311","4"
"Philosophy and religion teachers, postsecondary","=""25-1126""","Line Item","26.1","0.2","98.8","26.6","0.2","98.8","0.5","2.0","312","4"
"Miscellaneous postsecondary teachers","=""25-1190""","Summary","331.3","2.3","96.4","338.3","2.3","96.4","7.0","2.1","313","3"
"Family and consumer sciences teachers, postsecondary","=""25-1192""","Line Item","3.3","0.0","99.9","3.5","0.0","99.9","0.1","4.3","314","4"
"Recreation and fitness studies teachers, postsecondary","=""25-1193""","Line Item","16.1","0.1","99.7","16.7","0.1","99.6","0.5","3.4","315","4"
"Career/technical education teachers, postsecondary","=""25-1194""","Line Item","112.4","0.8","92.3","112.4","0.8","92.2","0.0","0.0","316","4"
"Postsecondary teachers, all other","=""25-1199""","Line Item","199.5","1.4","98.5","205.8","1.4","98.5","6.3","3.2","317","4"
"Preschool, elementary, middle, secondary, and special education teachers","=""25-2000""","Summary","3,919.0","27.3","88.3","3,890.5","26.9","87.7","-28.5","-0.7","318","2"
"Preschool and kindergarten teachers","=""25-2010""","Summary","208.6","1.5","32.0","207.7","1.4","30.8","-0.8","-0.4","319","3"
"Preschool teachers, except special education","=""25-2011""","Line Item","90.5","0.6","17.1","90.6","0.6","16.4","0.1","0.1","320","4"
"Kindergarten teachers, except special education","=""25-2012""","Line Item","118.0","0.8","96.2","117.2","0.8","96.2","-0.9","-0.7","321","4"
"Elementary and middle school teachers","=""25-2020""","Summary","2,061.8","14.4","98.5","2,045.8","14.1","98.5","-16.0","-0.8","322","3"
"Elementary school teachers, except special education","=""25-2021""","Line Item","1,417.9","9.9","98.4","1,406.9","9.7","98.4","-11.1","-0.8","323","4"
"Middle school teachers, except special and career/technical education","=""25-2022""","Line Item","631.8","4.4","98.7","627.0","4.3","98.7","-4.8","-0.8","324","4"
"Career/technical education teachers, middle school","=""25-2023""","Line Item","12.1","0.1","99.2","12.0","0.1","99.3","-0.1","-0.9","325","4"
"Secondary school teachers","=""25-2030""","Summary","1,142.2","8.0","98.4","1,134.1","7.8","98.3","-8.1","-0.7","326","3"
"Secondary school teachers, except special and career/technical education","=""25-2031""","Line Item","1,055.6","7.3","98.5","1,048.4","7.2","98.5","-7.3","-0.7","327","4"
"Career/technical education teachers, secondary school","=""25-2032""","Line Item","86.6","0.6","96.6","85.8","0.6","96.5","-0.8","-0.9","328","4"
"Special education teachers","=""25-2050""","Summary","506.4","3.5","95.3","502.7","3.5","94.9","-3.6","-0.7","329","3"
"Special education teachers, preschool","=""25-2051""","Line Item","16.3","0.1","63.5","16.2","0.1","62.2","-0.1","-0.5","330","4"
"Special education teachers, kindergarten and elementary school","=""25-2052""","Line Item","209.4","1.5","98.4","207.6","1.4","98.3","-1.8","-0.9","331","4"
"Special education teachers, middle school","=""25-2057""","Line Item","88.2","0.6","99.6","87.4","0.6","99.6","-0.8","-0.9","332","4"
"Special education teachers, secondary school","=""25-2058""","Line Item","156.4","1.1","98.0","155.4","1.1","97.9","-1.1","-0.7","333","4"
"Special education teachers, all other","=""25-2059""","Line Item","36.0","0.3","79.9","36.1","0.2","78.5","0.1","0.3","334","4"
"Other teachers and instructors","=""25-3000""","Summary","840.6","5.9","68.7","857.0","5.9","68.5","16.4","2.0","335","2"
"Adult basic education, adult secondary education, and english as a second language instructors","=""25-3011""","Line Item","30.8","0.2","73.9","26.5","0.2","72.6","-4.4","-14.2","336","3"
"Self-enrichment teachers","=""25-3021""","Line Item","184.9","1.3","50.0","190.3","1.3","49.7","5.4","2.9","337","3"
"Substitute teachers, short-term","=""25-3031""","Line Item","387.4","2.7","81.9","401.8","2.8","82.1","14.4","3.7","338","3"
"Tutors","=""25-3041""","Line Item","152.9","1.1","78.4","153.2","1.1","78.0","0.3","0.2","339","3"
"Teachers and instructors, all other","=""25-3099""","Line Item","84.5","0.6","58.9","85.2","0.6","58.6","0.7","0.8","340","3"
"Librarians, curators, and archivists","=""25-4000""","Summary","111.1","0.8","42.5","109.5","0.8","41.4","-1.6","-1.4","341","2"
"Archivists, curators, and museum technicians","=""25-4010""","Summary","5.8","0.0","15.5","6.0","0.0","14.5","0.2","3.0","342","3"
"Archivists","=""25-4011""","Line Item","1.7","0.0","19.4","1.8","0.0","18.4","0.0","2.5","343","4"
"Curators","=""25-4012""","Line Item","2.2","0.0","15.6","2.3","0.0","14.3","0.1","3.3","344","4"
"Museum technicians and conservators","=""25-4013""","Line Item","1.9","0.0","13.2","2.0","0.0","12.3","0.1","3.0","345","4"
"Librarians and media collections specialists","=""25-4022""","Line Item","78.2","0.5","55.0","78.7","0.5","53.8","0.5","0.6","346","3"
"Library technicians","=""25-4031""","Line Item","27.0","0.2","33.1","24.8","0.2","32.2","-2.2","-8.3","347","3"
"Other educational instruction and library occupations","=""25-9000""","Summary","1,622.9","11.3","83.8","1,627.2","11.2","83.8","4.3","0.3","348","2"
"Farm and home management educators","=""25-9021""","Line Item","7.5","0.1","76.4","7.4","0.1","76.4","-0.1","-1.7","349","3"
"Instructional coordinators","=""25-9031""","Line Item","175.5","1.2","77.9","177.6","1.2","77.4","2.1","1.2","350","3"
"Teaching assistants","=""25-9040""","Summary","1,329.2","9.3","84.5","1,329.7","9.2","84.5","0.4","0.0","351","3"
"Teaching assistants, postsecondary","=""25-9044""","Line Item","181.6","1.3","98.4","188.9","1.3","98.3","7.3","4.0","352","4"
"Teaching assistants, except postsecondary","=""25-9045""","Line Item","1,147.6","8.0","82.6","1,140.8","7.9","82.6","-6.8","-0.6","353","4"
"Educational instruction and library workers, all other","=""25-9099""","Line Item","110.7","0.8","87.0","112.6","0.8","86.8","1.9","1.7","354","3"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","305.9","2.1","10.0","318.5","2.2","9.9","12.6","4.1","355","1"
"Art and design workers","=""27-1000""","Summary","14.9","0.1","1.6","15.4","0.1","1.6","0.5","3.1","356","2"
"Artists and related workers","=""27-1010""","Summary","3.8","0.0","1.5","3.9","0.0","1.5","0.1","3.0","357","3"
"Art directors","=""27-1011""","Line Item","1.6","0.0","1.3","1.6","0.0","1.2","0.0","2.7","358","4"
"Fine artists, including painters, sculptors, and illustrators","=""27-1013""","Line Item","0.9","0.0","3.2","0.9","0.0","3.2","0.0","3.0","360","4"
"Special effects artists and animators","=""27-1014""","Line Item","0.5","0.0","0.7","0.6","0.0","0.7","0.0","3.8","361","4"
"Artists and related workers, all other","=""27-1019""","Line Item","0.8","0.0","5.9","0.8","0.0","5.9","0.0","3.3","362","4"
"Designers","=""27-1020""","Summary","11.1","0.1","1.6","11.5","0.1","1.6","0.3","3.1","363","3"
"Commercial and industrial designers","=""27-1021""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","3.6","364","4"
"Fashion designers","=""27-1022""","Line Item","0.2","0.0","0.8","0.2","0.0","0.9","0.0","7.2","365","4"
"Graphic designers","=""27-1024""","Line Item","9.2","0.1","3.4","9.4","0.1","3.4","0.3","3.1","367","4"
"Interior designers","=""27-1025""","Line Item","0.3","0.0","0.3","0.3","0.0","0.3","0.0","4.0","368","4"
"Set and exhibit designers","=""27-1027""","Line Item","1.1","0.0","3.6","1.1","0.0","3.5","0.0","2.1","370","4"
"Designers, all other","=""27-1029""","Line Item","0.4","0.0","1.2","0.4","0.0","1.2","0.0","3.1","371","4"
"Entertainers and performers, sports and related workers","=""27-2000""","Summary","205.3","1.4","22.9","215.6","1.5","22.6","10.4","5.0","372","2"
"Actors, producers, and directors","=""27-2010""","Summary","9.6","0.1","3.9","9.8","0.1","3.8","0.3","2.6","373","3"
"Actors","=""27-2011""","Line Item","3.4","0.0","4.5","3.5","0.0","4.4","0.1","2.1","374","4"
"Producers and directors","=""27-2012""","Line Item","6.2","0.0","3.7","6.3","0.0","3.5","0.2","2.9","375","4"
"Athletes, coaches, umpires, and related workers","=""27-2020""","Summary","185.2","1.3","52.2","195.2","1.3","50.4","9.9","5.4","376","3"
"Athletes and sports competitors","=""27-2021""","Line Item","0.1","0.0","0.6","0.2","0.0","0.6","0.0","4.9","377","4"
"Coaches and scouts","=""27-2022""","Line Item","183.5","1.3","59.8","193.4","1.3","57.9","9.9","5.4","378","4"
"Umpires, referees, and other sports officials","=""27-2023""","Line Item","1.6","0.0","7.0","1.7","0.0","6.5","0.0","2.5","379","4"
"Dancers and choreographers","=""27-2030""","Summary","2.8","0.0","13.4","2.8","0.0","13.0","0.1","2.8","380","3"
"Dancers","=""27-2031""","Line Item","0.4","0.0","2.8","0.4","0.0","2.7","0.0","2.8","381","4"
"Choreographers","=""27-2032""","Line Item","2.3","0.0","43.3","2.4","0.0","42.3","0.1","2.9","382","4"
"Musicians, singers, and related workers","=""27-2040""","Summary","6.2","0.0","2.8","6.3","0.0","2.8","0.0","0.6","383","3"
"Music directors and composers","=""27-2041""","Line Item","1.6","0.0","3.1","1.5","0.0","3.0","0.0","-2.1","384","4"
"Musicians and singers","=""27-2042""","Line Item","4.7","0.0","2.7","4.7","0.0","2.7","0.1","1.5","385","4"
"Miscellaneous entertainers and performers, sports and related workers","=""27-2090""","Summary","1.5","0.0","2.6","1.5","0.0","2.5","0.1","3.5","386","3"
"Entertainers and performers, sports and related workers, all other","=""27-2099""","Line Item","1.4","0.0","4.1","1.5","0.0","3.9","0.1","3.6","388","4"
"Media and communication workers","=""27-3000""","Summary","70.0","0.5","8.5","71.5","0.5","8.4","1.5","2.2","389","2"
"News analysts, reporters, and journalists","=""27-3023""","Line Item","0.7","0.0","1.5","0.8","0.0","1.6","0.0","3.1","391","3"
"Public relations specialists","=""27-3031""","Line Item","39.1","0.3","12.7","40.1","0.3","12.3","1.0","2.5","392","3"
"Writers and editors","=""27-3040""","Summary","11.4","0.1","3.6","11.7","0.1","3.6","0.3","2.3","393","3"
"Editors","=""27-3041""","Line Item","6.2","0.0","5.4","6.4","0.0","5.7","0.2","3.2","394","4"
"Technical writers","=""27-3042""","Line Item","1.6","0.0","3.2","1.6","0.0","3.0","0.0","-2.1","395","4"
"Writers and authors","=""27-3043""","Line Item","3.6","0.0","2.4","3.7","0.0","2.3","0.1","2.6","396","4"
"Miscellaneous media and communication workers","=""27-3090""","Summary","17.2","0.1","14.0","17.4","0.1","13.7","0.2","1.1","397","3"
"Interpreters and translators","=""27-3091""","Line Item","13.9","0.1","17.8","14.0","0.1","17.5","0.1","0.6","398","4"
"Court reporters and simultaneous captioners","=""27-3092""","Line Item","0.4","0.0","2.3","0.4","0.0","2.3","0.0","3.6","399","4"
"Media and communication workers, all other","=""27-3099""","Line Item","2.8","0.0","10.5","2.9","0.0","10.1","0.1","3.2","400","4"
"Media and communication equipment workers","=""27-4000""","Summary","15.7","0.1","4.0","16.0","0.1","3.9","0.2","1.5","401","2"
"Broadcast, sound, and lighting technicians","=""27-4010""","Summary","11.4","0.1","7.8","11.5","0.1","7.7","0.2","1.4","402","3"
"Audio and video technicians","=""27-4011""","Line Item","8.9","0.1","10.2","9.1","0.1","9.9","0.2","2.3","403","4"
"Broadcast technicians","=""27-4012""","Line Item","1.4","0.0","4.5","1.3","0.0","4.5","0.0","-1.0","404","4"
"Sound engineering technicians","=""27-4014""","Line Item","0.9","0.0","4.8","0.9","0.0","4.7","0.0","-1.8","405","4"
"Lighting technicians","=""27-4015""","Line Item","0.2","0.0","2.2","0.2","0.0","2.1","0.0","-7.4","406","4"
"Photographers","=""27-4021""","Line Item","1.3","0.0","0.8","1.3","0.0","0.8","0.0","2.7","407","3"
"Television, video, and film camera operators and editors","=""27-4030""","Summary","1.8","0.0","2.1","1.8","0.0","2.0","0.0","0.7","408","3"
"Camera operators, television, video, and film","=""27-4031""","Line Item","1.0","0.0","2.6","1.0","0.0","2.5","0.0","-1.9","409","4"
"Film and video editors","=""27-4032""","Line Item","0.8","0.0","1.7","0.8","0.0","1.7","0.0","4.0","410","4"
"Media and communication equipment workers, all other","=""27-4099""","Line Item","1.3","0.0","10.1","1.4","0.0","10.0","0.0","2.8","411","3"
"Healthcare practitioners and technical occupations","=""29-0000""","Summary","350.0","2.4","3.6","364.5","2.5","3.4","14.5","4.1","412","1"
"Healthcare diagnosing or treating practitioners","=""29-1000""","Summary","273.0","1.9","4.2","284.0","2.0","4.0","11.1","4.0","413","2"
"Dentists","=""29-1020""","Summary","0.7","0.0","0.4","0.7","0.0","0.4","0.0","4.1","415","3"
"Dentists, general","=""29-1021""","Line Item","0.6","0.0","0.4","0.6","0.0","0.4","0.0","4.1","416","4"
"Dietitians and nutritionists","=""29-1031""","Line Item","2.7","0.0","3.3","2.8","0.0","3.2","0.0","1.8","421","3"
"Optometrists","=""29-1041""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","2.8","422","3"
"Pharmacists","=""29-1051""","Line Item","2.7","0.0","0.8","2.9","0.0","0.8","0.2","5.6","423","3"
"Physician assistants","=""29-1071""","Line Item","4.6","0.0","3.0","4.7","0.0","2.4","0.2","3.5","424","3"
"Therapists","=""29-1120""","Summary","104.0","0.7","12.6","111.6","0.8","11.9","7.6","7.3","426","3"
"Occupational therapists","=""29-1122""","Line Item","19.8","0.1","13.2","19.9","0.1","11.9","0.1","0.3","427","4"
"Physical therapists","=""29-1123""","Line Item","7.8","0.1","3.0","7.8","0.1","2.6","0.1","0.9","428","4"
"Radiation therapists","=""29-1124""","Line Item","0.2","0.0","1.2","0.2","0.0","1.2","0.0","3.0","429","4"
"Recreational therapists","=""29-1125""","Line Item","0.3","0.0","1.8","0.3","0.0","1.8","0.0","1.5","430","4"
"Respiratory therapists","=""29-1126""","Line Item","0.9","0.0","0.7","1.0","0.0","0.7","0.1","14.6","431","4"
"Speech-language pathologists","=""29-1127""","Line Item","73.2","0.5","40.5","80.4","0.6","37.6","7.3","9.9","432","4"
"Exercise physiologists","=""29-1128""","Line Item","0.1","0.0","0.6","0.1","0.0","0.5","0.0","3.0","433","4"
"Therapists, all other","=""29-1129""","Line Item","1.7","0.0","4.0","1.8","0.0","3.6","0.0","0.7","434","4"
"Veterinarians","=""29-1131""","Line Item","1.0","0.0","1.2","1.1","0.0","1.0","0.0","4.6","435","3"
"Registered nurses","=""29-1141""","Line Item","101.6","0.7","3.1","102.9","0.7","2.9","1.4","1.3","436","3"
"Nurse anesthetists","=""29-1151""","Line Item","1.2","0.0","2.4","1.2","0.0","2.2","0.0","3.1","437","3"
"Nurse midwives","=""29-1161""","Line Item","0.1","0.0","1.6","0.1","0.0","1.5","0.0","3.0","438","3"
"Nurse practitioners","=""29-1171""","Line Item","9.9","0.1","3.4","10.2","0.1","2.4","0.3","3.0","439","3"
"Audiologists","=""29-1181""","Line Item","1.5","0.0","10.4","1.5","0.0","9.5","0.0","1.6","440","3"
"Physicians","=""29-1210""","Summary","38.7","0.3","5.0","39.9","0.3","4.9","1.2","3.0","441","3"
"Anesthesiologists","=""29-1211""","Line Item","0.8","0.0","2.2","0.8","0.0","2.2","0.0","4.8","442","4"
"Cardiologists","=""29-1212""","Line Item","0.3","0.0","2.1","0.4","0.0","2.1","0.0","3.6","443","4"
"Dermatologists","=""29-1213""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","4.2","444","4"
"Emergency medicine physicians","=""29-1214""","Line Item","0.8","0.0","2.2","0.9","0.0","2.2","0.0","4.2","445","4"
"Family medicine physicians","=""29-1215""","Line Item","2.5","0.0","2.1","2.6","0.0","2.1","0.1","3.3","446","4"
"General internal medicine physicians","=""29-1216""","Line Item","8.6","0.1","11.7","8.8","0.1","11.6","0.2","2.7","447","4"
"Neurologists","=""29-1217""","Line Item","0.4","0.0","3.5","0.4","0.0","3.4","0.0","3.3","448","4"
"Obstetricians and gynecologists","=""29-1218""","Line Item","0.5","0.0","2.4","0.5","0.0","2.4","0.0","3.7","449","4"
"Pediatricians, general","=""29-1221""","Line Item","1.5","0.0","4.0","1.6","0.0","4.1","0.1","3.7","450","4"
"Physicians, pathologists","=""29-1222""","Line Item","0.6","0.0","5.2","0.6","0.0","5.2","0.0","4.9","451","4"
"Psychiatrists","=""29-1223""","Line Item","1.4","0.0","5.3","1.5","0.0","5.1","0.0","3.2","452","4"
"Radiologists","=""29-1224""","Line Item","0.7","0.0","2.1","0.8","0.0","2.1","0.0","4.8","453","4"
"Physicians, all other","=""29-1229""","Line Item","20.3","0.1","6.0","20.9","0.1","6.0","0.6","2.8","454","4"
"Surgeons","=""29-1240""","Summary","1.8","0.0","3.1","1.9","0.0","3.2","0.1","4.4","455","3"
"Ophthalmologists, except pediatric","=""29-1241""","Line Item","0.1","0.0","1.2","0.2","0.0","1.2","0.0","4.1","456","4"
"Orthopedic surgeons, except pediatric","=""29-1242""","Line Item","0.3","0.0","2.1","0.4","0.0","2.1","0.0","4.4","457","4"
"Surgeons, all other","=""29-1249""","Line Item","1.3","0.0","4.7","1.4","0.0","4.7","0.1","4.4","459","4"
"Miscellaneous healthcare diagnosing or treating practitioners","=""29-1290""","Summary","2.2","0.0","0.8","2.3","0.0","0.8","0.1","3.5","460","3"
"Acupuncturists","=""29-1291""","Line Item","0.3","0.0","1.3","0.3","0.0","1.3","0.0","1.3","461","4"
"Dental hygienists","=""29-1292""","Line Item","0.8","0.0","0.4","0.8","0.0","0.3","0.0","3.2","462","4"
"Healthcare diagnosing or treating practitioners, all other","=""29-1299""","Line Item","1.2","0.0","2.9","1.2","0.0","2.9","0.0","4.3","463","4"
"Health technologists and technicians","=""29-2000""","Summary","57.6","0.4","1.9","59.3","0.4","1.8","1.8","3.1","464","2"
"Clinical laboratory technologists and technicians","=""29-2010""","Line Item","16.4","0.1","4.8","17.0","0.1","4.7","0.6","3.5","465","3"
"Diagnostic related technologists and technicians","=""29-2030""","Summary","4.6","0.0","1.1","4.8","0.0","1.0","0.2","4.6","466","3"
"Cardiovascular technologists and technicians","=""29-2031""","Line Item","0.7","0.0","1.2","0.7","0.0","1.2","0.0","4.6","467","4"
"Diagnostic medical sonographers","=""29-2032""","Line Item","1.0","0.0","1.2","1.1","0.0","1.1","0.0","4.4","468","4"
"Nuclear medicine technologists","=""29-2033""","Line Item","0.2","0.0","0.9","0.2","0.0","1.0","0.0","3.8","469","4"
"Radiologic technologists and technicians","=""29-2034""","Line Item","2.2","0.0","1.0","2.3","0.0","1.0","0.1","5.0","470","4"
"Magnetic resonance imaging technologists","=""29-2035""","Line Item","0.4","0.0","1.0","0.4","0.0","0.9","0.0","3.4","471","4"
"Medical dosimetrists","=""29-2036""","Line Item","0.1","0.0","1.9","0.1","0.0","1.9","0.0","2.0","472","4"
"Emergency medical technicians and paramedics","=""29-2040""","Summary","0.9","0.0","0.3","1.0","0.0","0.3","0.0","4.1","473","3"
"Emergency medical technicians","=""29-2042""","Line Item","0.7","0.0","0.4","0.7","0.0","0.4","0.0","3.8","474","4"
"Paramedics","=""29-2043""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","4.8","475","4"
"Health practitioner support technologists and technicians","=""29-2050""","Summary","11.2","0.1","1.2","11.6","0.1","1.1","0.4","3.9","476","3"
"Dietetic technicians","=""29-2051""","Line Item","0.3","0.0","1.4","0.3","0.0","1.3","0.0","0.3","477","4"
