Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Data entry keyers;"=""43-9021""";Line Item;6.3;0.0;3.8;4.4;0.0;3.6;-1.8;-29.5;732.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Word processors and typists;"=""43-9022""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;-39.1;733.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Desktop publishers;"=""43-9031""";Line Item;0.3;0.0;5.0;0.2;0.0;4.4;-0.1;-23.7;734.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Insurance claims and policy processing clerks;"=""43-9041""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;6.9;735.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Mail clerks and mail machine operators, except postal service;"=""43-9051""";Line Item;4.4;0.0;6.2;3.4;0.0;5.2;-1.0;-22.2;736.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Office clerks, general;"=""43-9061""";Line Item;132.3;1.0;5.0;120.8;0.9;4.8;-11.5;-8.7;737.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Office machine operators, except computer;"=""43-9071""";Line Item;1.1;0.0;3.6;0.8;0.0;3.2;-0.3;-23.9;738.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Proofreaders and copy markers;"=""43-9081""";Line Item;0.2;0.0;3.7;0.2;0.0;3.3;0.0;-12.9;739.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Office and administrative support workers, all other;"=""43-9199""";Line Item;3.8;0.0;1.8;3.4;0.0;1.8;-0.4;-9.3;741.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Farming, fishing, and forestry occupations;"=""45-0000""";Summary;32.5;0.3;3.3;34.1;0.3;3.5;1.7;5.1;742.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Supervisors of farming, fishing, and forestry workers;"=""45-1000""";Summary;2.1;0.0;3.0;2.4;0.0;3.4;0.3;14.7;743.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of farming, fishing, and forestry workers;"=""45-1011""";Line Item;2.1;0.0;3.0;2.4;0.0;3.4;0.3;14.7;744.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural workers;"=""45-2000""";Summary;23.3;0.2;2.8;24.4;0.2;3.0;1.2;5.0;745.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural inspectors;"=""45-2011""";Line Item;1.3;0.0;9.4;1.4;0.0;9.8;0.1;7.8;746.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Animal breeders;"=""45-2021""";Line Item;0.1;0.0;1.1;0.1;0.0;1.2;0.0;6.5;747.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Graders and sorters, agricultural products;"=""45-2041""";Line Item;9.7;0.1;30.1;9.2;0.1;30.2;-0.4;-4.6;748.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous agricultural workers;"=""45-2090""";Summary;12.3;0.1;1.6;13.8;0.1;1.8;1.5;12.4;749.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural equipment operators;"=""45-2091""";Line Item;1.5;0.0;2.3;1.6;0.0;2.4;0.2;12.5;750.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Farmworkers and laborers, crop, nursery, and greenhouse;"=""45-2092""";Line Item;7.9;0.1;1.6;9.2;0.1;1.9;1.2;15.4;751.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Farmworkers, farm, ranch, and aquacultural animals;"=""45-2093""";Line Item;2.5;0.0;1.2;2.5;0.0;1.3;0.1;2.5;752.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural workers, all other;"=""45-2099""";Line Item;0.4;0.0;3.5;0.4;0.0;3.8;0.0;11.5;753.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Forest, conservation, and logging workers;"=""45-4000""";Summary;7.0;0.1;11.5;7.2;0.1;12.3;0.2;2.8;756.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Logging workers;"=""45-4020""";Summary;7.0;0.1;14.0;7.2;0.1;15.0;0.2;2.8;758.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Fallers;"=""45-4021""";Line Item;0.3;0.0;3.9;0.3;0.0;4.1;0.0;-4.2;759.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Logging equipment operators;"=""45-4022""";Line Item;3.5;0.0;10.2;3.7;0.0;11.2;0.2;5.6;760.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Log graders and scalers;"=""45-4023""";Line Item;2.9;0.0;55.5;2.9;0.0;56.7;0.0;0.6;761.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Logging workers, all other;"=""45-4029""";Line Item;0.3;0.0;9.0;0.3;0.0;9.4;0.0;-2.9;762.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Construction and extraction occupations;"=""47-0000""";Summary;201.0;1.6;2.7;206.8;1.6;2.7;5.8;2.9;763.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Supervisors of construction and extraction workers;"=""47-1000""";Summary;13.9;0.1;1.6;14.3;0.1;1.6;0.4;2.9;764.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of construction trades and extraction workers;"=""47-1011""";Line Item;13.9;0.1;1.6;14.3;0.1;1.6;0.4;2.9;765.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Construction trades workers;"=""47-2000""";Summary;177.6;1.4;3.2;182.7;1.4;3.1;5.2;2.9;766.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Boilermakers;"=""47-2011""";Line Item;1.1;0.0;9.5;1.1;0.0;10.0;0.0;3.7;767.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Brickmasons, blockmasons, and stonemasons;"=""47-2020""";Summary;2.0;0.0;2.4;2.0;0.0;2.3;0.0;-2.0;768.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Brickmasons and blockmasons;"=""47-2021""";Line Item;0.5;0.0;0.7;0.6;0.0;0.8;0.1;14.0;769.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Stonemasons;"=""47-2022""";Line Item;1.5;0.0;11.8;1.4;0.0;11.3;-0.1;-7.7;770.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Carpenters;"=""47-2031""";Line Item;28.9;0.2;3.1;28.8;0.2;3.0;0.0;-0.1;771.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Carpet, floor, and tile installers and finishers;"=""47-2040""";Summary;6.5;0.1;5.6;7.3;0.1;5.9;0.8;12.2;772.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Carpet installers;"=""47-2041""";Line Item;0.1;0.0;0.6;0.1;0.0;0.6;0.0;-13.8;773.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Floor layers, except carpet, wood, and hard tiles;"=""47-2042""";Line Item;0.8;0.0;2.4;0.9;0.0;2.5;0.1;12.5;774.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Floor sanders and finishers;"=""47-2043""";Line Item;0.1;0.0;1.9;0.1;0.0;1.9;0.0;0.2;775.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Tile and stone setters;"=""47-2044""";Line Item;5.5;0.0;9.8;6.2;0.0;10.0;0.7;13.0;776.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cement masons, concrete finishers, and terrazzo workers;"=""47-2050""";Summary;4.4;0.0;2.1;5.4;0.0;2.5;0.9;21.5;777.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Cement masons and concrete finishers;"=""47-2051""";Line Item;4.4;0.0;2.1;5.4;0.0;2.6;0.9;21.5;778.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Construction laborers;"=""47-2061""";Line Item;16.3;0.1;1.2;16.6;0.1;1.1;0.3;1.9;780.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Construction equipment operators;"=""47-2070""";Summary;11.4;0.1;2.2;11.5;0.1;2.1;0.1;1.3;781.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Paving, surfacing, and tamping equipment operators;"=""47-2071""";Line Item;1.8;0.0;4.1;1.8;0.0;3.9;0.0;-0.8;782.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Pile driver operators;"=""47-2072""";Line Item;0.1;0.0;1.8;0.1;0.0;1.7;0.0;-0.8;783.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Operating engineers and other construction equipment operators;"=""47-2073""";Line Item;9.5;0.1;2.0;9.6;0.1;2.0;0.2;1.7;784.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Drywall installers, ceiling tile installers, and tapers;"=""47-2080""";Summary;1.2;0.0;0.9;1.2;0.0;0.8;0.0;1.3;785.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Drywall and ceiling tile installers;"=""47-2081""";Line Item;1.1;0.0;1.0;1.1;0.0;0.9;0.0;1.3;786.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Tapers;"=""47-2082""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;2.1;787.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electricians;"=""47-2111""";Line Item;48.0;0.4;6.2;48.6;0.4;5.6;0.6;1.2;788.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Glaziers;"=""47-2121""";Line Item;1.7;0.0;3.0;1.8;0.0;3.0;0.1;5.0;789.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Insulation workers, floor, ceiling, and wall;"=""47-2131""";Line Item;0.3;0.0;0.8;0.3;0.0;0.9;0.0;4.5;791.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Painters and paperhangers;"=""47-2140""";Summary;5.2;0.0;1.5;5.3;0.0;1.5;0.1;1.4;793.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Painters, construction and maintenance;"=""47-2141""";Line Item;5.1;0.0;1.5;5.1;0.0;1.5;0.1;1.3;794.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Paperhangers;"=""47-2142""";Line Item;0.1;0.0;3.7;0.1;0.0;3.7;0.0;4.1;795.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Pipelayers, plumbers, pipefitters, and steamfitters;"=""47-2150""";Summary;15.1;0.1;3.0;15.3;0.1;2.9;0.2;1.3;796.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Pipelayers;"=""47-2151""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;5.5;797.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Plumbers, pipefitters, and steamfitters;"=""47-2152""";Line Item;15.1;0.1;3.2;15.2;0.1;3.1;0.2;1.3;798.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Reinforcing iron and rebar workers;"=""47-2171""";Line Item;0.8;0.0;3.8;0.9;0.0;3.9;0.0;5.4;800.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Roofers;"=""47-2181""";Line Item;1.4;0.0;0.8;1.4;0.0;0.8;0.0;2.8;801.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Sheet metal workers;"=""47-2211""";Line Item;27.5;0.2;22.1;29.1;0.2;22.9;1.6;5.8;802.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Structural iron and steel workers;"=""47-2221""";Line Item;5.3;0.0;8.0;5.6;0.0;8.1;0.3;5.8;803.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Solar photovoltaic installers;"=""47-2231""";Line Item;0.1;0.0;0.6;0.2;0.0;0.5;0.0;11.7;804.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers, construction trades;"=""47-3000""";Summary;2.6;0.0;1.3;2.7;0.0;1.3;0.1;4.0;805.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters;"=""47-3011""";Line Item;0.3;0.0;1.5;0.3;0.0;2.0;0.1;22.1;806.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers--carpenters;"=""47-3012""";Line Item;0.8;0.0;3.7;0.8;0.0;3.7;0.0;-1.8;807.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers--electricians;"=""47-3013""";Line Item;0.5;0.0;0.7;0.5;0.0;0.7;0.0;3.7;808.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers--painters, paperhangers, plasterers, and stucco masons;"=""47-3014""";Line Item;0.1;0.0;0.8;0.1;0.0;0.8;0.0;4.2;809.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers--pipelayers, plumbers, pipefitters, and steamfitters;"=""47-3015""";Line Item;0.2;0.0;0.4;0.2;0.0;0.4;0.0;3.1;810.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Helpers, construction trades, all other;"=""47-3019""";Line Item;0.7;0.0;2.7;0.8;0.0;2.6;0.0;4.5;812.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Other construction and related workers;"=""47-4000""";Summary;2.6;0.0;0.6;2.7;0.0;0.6;0.1;3.1;813.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Construction and building inspectors;"=""47-4011""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;-1.6;814.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Elevator and escalator installers and repairers;"=""47-4021""";Line Item;0.5;0.0;1.9;0.5;0.0;1.8;0.0;2.0;815.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Fence erectors;"=""47-4031""";Line Item;0.4;0.0;1.6;0.4;0.0;1.6;0.0;4.8;816.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Hazardous materials removal workers;"=""47-4041""";Line Item;0.2;0.0;0.4;0.2;0.0;0.5;0.0;4.0;817.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Septic tank servicers and sewer pipe cleaners;"=""47-4071""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;2.4;820.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous construction and related workers;"=""47-4090""";Line Item;1.3;0.0;4.2;1.4;0.0;4.1;0.0;3.6;821.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Extraction workers;"=""47-5000""";Summary;4.3;0.0;1.9;4.3;0.0;1.9;0.1;1.8;822.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Derrick, rotary drill, and service unit operators, oil and gas;"=""47-5010""";Summary;0.8;0.0;1.1;0.8;0.0;1.0;0.0;0.8;823.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Rotary drill operators, oil and gas;"=""47-5012""";Line Item;0.1;0.0;0.9;0.1;0.0;0.9;0.0;1.4;825.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Service unit operators, oil and gas;"=""47-5013""";Line Item;0.6;0.0;1.3;0.6;0.0;1.3;0.0;0.6;826.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Surface mining machine operators and earth drillers;"=""47-5020""";Summary;1.3;0.0;2.4;1.3;0.0;2.4;0.0;2.6;827.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Excavating and loading machine and dragline operators, surface mining;"=""47-5022""";Line Item;1.2;0.0;3.5;1.2;0.0;3.6;0.0;2.4;828.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Earth drillers, except oil and gas;"=""47-5023""";Line Item;0.1;0.0;0.4;0.1;0.0;0.5;0.0;5.5;829.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Explosives workers, ordnance handling experts, and blasters;"=""47-5032""";Line Item;0.6;0.0;12.0;0.6;0.0;11.7;0.0;-0.7;830.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Underground mining machine operators;"=""47-5040""";Summary;0.2;0.0;0.8;0.2;0.0;0.9;0.0;2.8;831.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Continuous mining machine operators;"=""47-5041""";Line Item;0.1;0.0;0.9;0.1;0.0;0.9;0.0;2.9;832.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Loading and moving machine operators, underground mining;"=""47-5044""";Line Item;0.1;0.0;1.0;0.1;0.0;1.3;0.0;2.7;834.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Rock splitters, quarry;"=""47-5051""";Line Item;0.8;0.0;21.9;0.8;0.0;21.8;0.0;2.2;836.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Roustabouts, oil and gas;"=""47-5071""";Line Item;0.5;0.0;1.0;0.5;0.0;1.0;0.0;3.0;837.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Extraction workers, all other;"=""47-5099""";Line Item;0.1;0.0;1.2;0.1;0.0;1.3;0.0;6.0;839.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Installation, maintenance, and repair occupations;"=""49-0000""";Summary;697.1;5.4;10.8;756.9;5.8;11.1;59.7;8.6;840.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Supervisors of installation, maintenance, and repair workers;"=""49-1000""";Summary;63.1;0.5;10.4;64.5;0.5;10.3;1.4;2.2;841.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of mechanics, installers, and repairers;"=""49-1011""";Line Item;63.1;0.5;10.4;64.5;0.5;10.3;1.4;2.2;842.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical and electronic equipment mechanics, installers, and repairers;"=""49-2000""";Summary;32.1;0.2;6.2;32.9;0.3;6.3;0.8;2.5;843.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Computer, automated teller, and office machine repairers;"=""49-2011""";Line Item;1.7;0.0;2.0;1.7;0.0;2.1;0.0;2.4;844.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Radio and telecommunications equipment installers and repairers;"=""49-2020""";Summary;0.8;0.0;0.4;0.8;0.0;0.5;0.0;1.6;845.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Radio, cellular, and tower equipment installers and repairers;"=""49-2021""";Line Item;0.6;0.0;5.1;0.6;0.0;4.7;0.0;-1.2;846.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Telecommunications equipment installers and repairers, except line installers;"=""49-2022""";Line Item;0.1;0.0;0.1;0.2;0.0;0.1;0.0;12.9;847.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous electrical and electronic equipment mechanics, installers, and repairers;"=""49-2090""";Summary;29.7;0.2;11.6;30.4;0.2;11.4;0.8;2.5;848.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Avionics technicians;"=""49-2091""";Line Item;9.0;0.1;41.0;9.9;0.1;42.1;0.9;10.4;849.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electric motor, power tool, and related repairers;"=""49-2092""";Line Item;2.6;0.0;14.8;2.7;0.0;14.4;0.0;1.9;850.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical and electronics installers and repairers, transportation equipment;"=""49-2093""";Line Item;0.5;0.0;6.0;0.5;0.0;5.9;0.0;3.7;851.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical and electronics repairers, commercial and industrial equipment;"=""49-2094""";Line Item;15.7;0.1;26.2;15.4;0.1;25.5;-0.2;-1.4;852.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electrical and electronics repairers, powerhouse, substation, and relay;"=""49-2095""";Line Item;0.4;0.0;1.4;0.4;0.0;1.5;0.0;6.4;853.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Electronic equipment installers and repairers, motor vehicles;"=""49-2096""";Line Item;1.1;0.0;12.6;1.1;0.0;14.0;0.0;-3.3;854.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Audiovisual equipment installers and repairers;"=""49-2097""";Line Item;0.2;0.0;0.8;0.2;0.0;0.7;0.0;-7.4;855.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Security and fire alarm systems installers;"=""49-2098""";Line Item;0.2;0.0;0.3;0.2;0.0;0.3;0.0;0.3;856.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3000""";Summary;67.4;0.5;3.5;68.9;0.5;3.5;1.5;2.2;857.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Aircraft mechanics and service technicians;"=""49-3011""";Line Item;25.7;0.2;18.2;26.4;0.2;17.7;0.6;2.5;858.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Automotive technicians and repairers;"=""49-3020""";Summary;10.5;0.1;1.1;10.4;0.1;1.0;-0.1;-1.1;859.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Automotive body and related repairers;"=""49-3021""";Line Item;5.0;0.0;3.0;5.3;0.0;3.1;0.3;5.1;860.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Automotive service technicians and mechanics;"=""49-3023""";Line Item;5.5;0.0;0.7;5.1;0.0;0.6;-0.4;-6.8;862.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Bus and truck mechanics and diesel engine specialists;"=""49-3031""";Line Item;15.2;0.1;5.1;16.1;0.1;5.2;0.9;5.6;863.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Heavy vehicle and mobile equipment service technicians and mechanics;"=""49-3040""";Summary;11.0;0.1;4.2;10.9;0.1;3.9;-0.1;-0.8;864.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Farm equipment mechanics and service technicians;"=""49-3041""";Line Item;1.0;0.0;2.1;1.0;0.0;1.9;0.0;0.6;865.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Mobile heavy equipment mechanics, except engines;"=""49-3042""";Line Item;9.6;0.1;5.0;9.5;0.1;4.6;-0.1;-0.7;866.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Rail car repairers;"=""49-3043""";Line Item;0.3;0.0;1.7;0.3;0.0;1.5;0.0;-9.5;867.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Small engine mechanics;"=""49-3050""";Summary;2.4;0.0;3.0;2.5;0.0;3.0;0.1;4.0;868.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Motorboat mechanics and service technicians;"=""49-3051""";Line Item;2.2;0.0;8.3;2.3;0.0;8.2;0.1;5.4;869.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Motorcycle mechanics;"=""49-3052""";Line Item;0.1;0.0;0.7;0.1;0.0;0.6;0.0;-12.8;870.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Outdoor power equipment and other small engine mechanics;"=""49-3053""";Line Item;0.2;0.0;0.4;0.2;0.0;0.4;0.0;-1.9;871.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3090""";Summary;2.6;0.0;1.8;2.7;0.0;1.8;0.1;3.0;872.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Recreational vehicle service technicians;"=""49-3092""";Line Item;1.1;0.0;5.8;1.1;0.0;5.5;0.0;4.0;874.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Tire repairers and changers;"=""49-3093""";Line Item;1.5;0.0;1.4;1.5;0.0;1.4;0.0;2.7;875.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Other installation, maintenance, and repair occupations;"=""49-9000""";Summary;534.5;4.1;15.6;590.6;4.5;16.1;56.1;10.5;876.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Control and valve installers and repairers;"=""49-9010""";Summary;2.4;0.0;3.1;2.4;0.0;3.0;0.1;2.9;877.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Mechanical door repairers;"=""49-9011""";Line Item;0.7;0.0;2.4;0.7;0.0;2.2;0.0;5.0;878.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Control and valve installers and repairers, except mechanical door;"=""49-9012""";Line Item;1.7;0.0;3.5;1.7;0.0;3.5;0.0;2.1;879.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Heating, air conditioning, and refrigeration mechanics and installers;"=""49-9021""";Line Item;11.3;0.1;2.6;11.9;0.1;2.5;0.5;4.6;880.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Home appliance repairers;"=""49-9031""";Line Item;0.3;0.0;0.9;0.3;0.0;0.9;0.0;3.1;881.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Industrial machinery installation, repair, and maintenance workers;"=""49-9040""";Summary;277.1;2.1;52.1;325.2;2.5;53.2;48.1;17.4;882.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Industrial machinery mechanics;"=""49-9041""";Line Item;228.8;1.8;53.3;273.1;2.1;54.3;44.3;19.4;883.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Maintenance workers, machinery;"=""49-9043""";Line Item;33.3;0.3;56.5;36.5;0.3;57.4;3.2;9.6;884.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Millwrights;"=""49-9044""";Line Item;14.6;0.1;34.4;15.3;0.1;34.5;0.7;4.8;885.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Refractory materials repairers, except brickmasons;"=""49-9045""";Line Item;0.3;0.0;62.1;0.3;0.0;60.6;-0.1;-19.7;886.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Line installers and repairers;"=""49-9050""";Summary;0.2;0.0;0.1;0.2;0.0;0.1;0.0;27.0;887.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Telecommunications line installers and repairers;"=""49-9052""";Line Item;0.2;0.0;0.2;0.2;0.0;0.2;0.0;28.2;889.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Precision instrument and equipment repairers;"=""49-9060""";Summary;4.5;0.0;5.0;4.7;0.0;4.6;0.2;4.7;890.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Camera and photographic equipment repairers;"=""49-9061""";Line Item;0.1;0.0;3.6;0.1;0.0;3.6;0.0;-16.6;891.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Medical equipment repairers;"=""49-9062""";Line Item;2.3;0.0;3.5;2.5;0.0;3.1;0.1;6.4;892.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Musical instrument repairers and tuners;"=""49-9063""";Line Item;0.4;0.0;5.8;0.4;0.0;6.1;0.0;6.3;893.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Precision instrument and equipment repairers, all other;"=""49-9069""";Line Item;1.6;0.0;15.2;1.7;0.0;15.1;0.1;3.2;895.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Maintenance and repair workers, general;"=""49-9071""";Line Item;200.8;1.6;12.4;206.6;1.6;12.2;5.8;2.9;896.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Wind turbine service technicians;"=""49-9081""";Line Item;0.4;0.0;3.2;0.4;0.0;2.0;0.0;0.5;897.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous installation, maintenance, and repair workers;"=""49-9090""";Summary;37.6;0.3;9.3;38.9;0.3;9.4;1.3;3.4;898.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Coin, vending, and amusement machine servicers and repairers;"=""49-9091""";Line Item;2.2;0.0;5.6;2.7;0.0;6.9;0.5;22.7;899.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Commercial divers;"=""49-9092""";Line Item;0.1;0.0;2.1;0.1;0.0;2.0;0.0;5.5;900.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Manufactured building and mobile home installers;"=""49-9095""";Line Item;0.7;0.0;20.3;0.5;0.0;19.3;-0.2;-23.7;902.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
