job_title,salary_usd,salary_currency,experience_level,employment_type,company_name,remote_ratio,education_required,years_experience,posting_date,application_deadline,job_description_length,benefits_score,employee_residence
Deep Learning Engineer,339204,USD,EX,FT,TechCorp Inc,100,PhD,15,2025-04-27,2025-07-03,1719,6.9,Denmark
Machine Learning Engineer,161023,EUR,EX,FT,Neural Networks Co,50,Master,19,2025-04-10,2025-06-21,566,9.5,South Korea
NLP Engineer,182901,USD,SE,FT,Autonomous Tech,50,PhD,7,2025-02-18,2025-03-05,2080,7.0,Germany
AI Product Manager,47175,USD,EN,FT,AI Innovations,50,Bachelor,0,2025-03-30,2025-05-25,2211,6.2,Japan
AI Product Manager,153635,USD,EX,FL,Digital Transformation LLC,100,Bachelor,14,2025-03-15,2025-04-17,852,5.2,Finland
Machine Learning Engineer,44627,USD,EN,FT,Algorithmic Solutions,50,Master,0,2024-03-24,2024-05-01,1728,8.8,Israel
AI Software Engineer,56871,USD,EN,FT,Smart Analytics,100,Associate,1,2025-02-01,2025-03-09,1396,5.5,Austria
Computer Vision Engineer,133602,USD,MI,CT,Machine Intelligence Group,50,Associate,3,2025-04-05,2025-05-25,1670,8.8,Denmark
Data Engineer,159055,USD,MI,FL,Smart Analytics,50,PhD,3,2024-11-15,2024-12-20,1246,8.6,India
Deep Learning Engineer,60695,USD,MI,CT,DataVision Ltd,100,PhD,4,2025-01-17,2025-03-28,1836,8.9,South Korea
Data Analyst,160736,USD,MI,PT,AI Innovations,0,Bachelor,4,2024-02-17,2024-04-09,1669,10.0,Switzerland
Machine Learning Engineer,85275,USD,SE,CT,DataVision Ltd,0,PhD,7,2024-04-15,2024-06-21,2175,7.4,United States
AI Research Scientist,128976,USD,SE,FL,Neural Networks Co,50,PhD,8,2025-04-17,2025-05-06,2069,7.2,Canada
Autonomous Systems Engineer,163228,USD,SE,FT,Advanced Robotics,100,PhD,8,2024-05-16,2024-06-10,1190,7.6,Singapore
ML Ops Engineer,165393,EUR,SE,FT,Cognitive Computing,0,PhD,8,2024-07-28,2024-09-10,1322,8.5,Australia
ML Ops Engineer,71761,USD,EN,CT,DeepTech Ventures,0,PhD,0,2024-07-08,2024-08-01,2116,5.5,Singapore
Autonomous Systems Engineer,208545,USD,EX,FT,Predictive Systems,50,Master,12,2024-08-16,2024-09-14,828,9.3,Singapore
Robotics Engineer,57499,USD,EN,FL,TechCorp Inc,100,PhD,0,2025-04-11,2025-05-09,507,8.7,France
NLP Engineer,164685,USD,MI,FL,DeepTech Ventures,50,Bachelor,4,2024-01-27,2024-04-01,2346,5.7,Switzerland
Principal Data Scientist,58750,USD,MI,FT,DataVision Ltd,0,Master,3,2024-01-21,2024-03-29,651,5.2,Japan
AI Product Manager,153129,EUR,SE,FT,Cloud AI Solutions,100,Associate,9,2024-09-09,2024-09-26,895,8.3,Netherlands
NLP Engineer,110826,EUR,SE,FT,Algorithmic Solutions,0,Associate,9,2024-11-01,2024-12-08,1784,7.1,South Korea
AI Software Engineer,95938,USD,MI,FT,Advanced Robotics,0,Bachelor,2,2024-05-08,2024-06-12,2122,9.2,Australia
Principal Data Scientist,58735,USD,MI,FL,Future Systems,0,Bachelor,2,2025-02-14,2025-03-14,1840,7.9,China
AI Specialist,95499,USD,MI,FL,Future Systems,0,PhD,3,2024-07-22,2024-08-25,1033,7.2,Norway
Computer Vision Engineer,110164,USD,SE,PT,DataVision Ltd,50,Associate,7,2025-02-05,2025-02-21,2495,8.0,Japan
Data Analyst,220844,USD,EX,PT,Neural Networks Co,50,Master,11,2024-01-17,2024-03-06,1137,8.0,Australia
Autonomous Systems Engineer,152074,USD,MI,CT,Autonomous Tech,100,Associate,2,2025-03-27,2025-05-20,594,7.0,Japan
Machine Learning Researcher,61932,USD,EN,CT,Future Systems,100,Associate,1,2024-07-05,2024-09-13,1154,7.9,Austria
AI Research Scientist,128710,EUR,SE,FT,Machine Intelligence Group,0,Bachelor,5,2024-09-04,2024-10-21,1325,7.8,Netherlands
Autonomous Systems Engineer,63930,USD,MI,CT,TechCorp Inc,100,PhD,3,2024-01-27,2024-03-12,569,7.5,Finland
Research Scientist,71217,USD,EN,FL,Predictive Systems,0,Master,1,2025-01-21,2025-04-03,1323,5.1,United States
Machine Learning Engineer,161974,USD,EX,CT,Smart Analytics,100,PhD,19,2024-07-27,2024-08-20,506,6.9,China
Deep Learning Engineer,338443,USD,EX,FL,Digital Transformation LLC,0,Associate,11,2024-02-29,2024-04-26,1778,5.6,Norway
Autonomous Systems Engineer,51068,EUR,EN,PT,Digital Transformation LLC,0,Associate,1,2024-12-23,2025-02-26,2421,7.2,Netherlands
ML Ops Engineer,81994,EUR,MI,PT,Cloud AI Solutions,50,PhD,2,2024-11-10,2024-12-27,1822,6.0,Germany
Deep Learning Engineer,106461,USD,SE,CT,DataVision Ltd,100,Associate,9,2024-11-04,2024-12-09,1371,8.0,Singapore
Deep Learning Engineer,54530,USD,MI,FT,TechCorp Inc,0,Master,4,2024-03-23,2024-04-30,1364,6.8,Japan
Data Analyst,148096,USD,SE,FL,DeepTech Ventures,0,Master,9,2025-02-11,2025-04-03,2026,8.0,Austria
AI Software Engineer,172525,USD,EX,CT,Cloud AI Solutions,100,Master,19,2025-03-29,2025-05-17,2337,7.3,India
Head of AI,72085,USD,EN,FL,Future Systems,50,Associate,0,2024-10-21,2024-11-17,2228,6.8,Canada
AI Specialist,268894,USD,EX,CT,Advanced Robotics,0,PhD,10,2024-08-16,2024-09-24,1353,6.7,United States
Data Analyst,150069,USD,EX,PT,TechCorp Inc,0,PhD,19,2025-01-25,2025-03-19,2083,5.9,Singapore
Research Scientist,60598,USD,MI,PT,Quantum Computing Inc,50,Bachelor,4,2025-03-10,2025-05-18,2428,9.0,South Korea
Data Engineer,212905,EUR,EX,PT,Algorithmic Solutions,0,Master,14,2025-03-08,2025-03-31,2414,6.9,Germany
Autonomous Systems Engineer,38957,USD,EN,PT,DeepTech Ventures,0,Bachelor,1,2024-04-07,2024-05-17,2197,6.1,South Korea
AI Research Scientist,68516,USD,EN,FT,Smart Analytics,50,Bachelor,1,2024-02-25,2024-03-28,1153,5.4,Australia
Machine Learning Researcher,230502,GBP,EX,FL,DataVision Ltd,100,Bachelor,16,2024-12-02,2025-01-17,1000,5.6,United Kingdom
Principal Data Scientist,97732,USD,MI,CT,Smart Analytics,0,PhD,2,2024-11-13,2024-12-21,2446,9.4,Switzerland
AI Software Engineer,172202,GBP,SE,CT,DataVision Ltd,0,Master,6,2024-11-13,2024-12-23,2073,8.2,United Kingdom
Machine Learning Researcher,126569,USD,MI,FT,Quantum Computing Inc,50,Bachelor,2,2025-01-24,2025-03-19,843,8.5,United Kingdom
Research Scientist,75600,USD,MI,FT,Predictive Systems,0,Master,3,2024-08-18,2024-09-06,2161,8.7,Finland
Data Engineer,131232,EUR,SE,FL,Predictive Systems,0,Bachelor,6,2024-01-23,2024-02-20,905,9.8,Germany
NLP Engineer,174194,EUR,SE,FT,AI Innovations,0,Bachelor,5,2024-11-23,2025-01-26,968,5.7,Germany
Autonomous Systems Engineer,151532,USD,SE,CT,Machine Intelligence Group,50,Bachelor,5,2025-03-18,2025-04-09,1561,7.4,Switzerland
Computer Vision Engineer,81737,EUR,MI,CT,TechCorp Inc,50,Master,4,2024-03-23,2024-04-13,1782,8.3,France
Computer Vision Engineer,71966,EUR,EN,CT,Algorithmic Solutions,0,Associate,0,2024-04-29,2024-05-25,2263,5.0,Netherlands
Principal Data Scientist,48710,USD,EN,FL,AI Innovations,0,Bachelor,0,2024-11-29,2025-01-29,953,6.7,Japan
Principal Data Scientist,162668,GBP,EX,FL,Future Systems,50,PhD,13,2024-05-01,2024-07-03,2385,6.5,United Kingdom
AI Research Scientist,97938,EUR,MI,FT,Quantum Computing Inc,0,PhD,2,2025-04-06,2025-05-03,1384,6.1,Netherlands
AI Product Manager,114659,EUR,MI,PT,Cloud AI Solutions,0,Master,3,2024-07-08,2024-07-29,2499,7.2,France
NLP Engineer,69650,USD,EN,PT,TechCorp Inc,100,Associate,1,2024-03-23,2024-04-22,2361,8.4,United States
AI Consultant,49922,USD,MI,CT,Digital Transformation LLC,50,Associate,3,2024-11-25,2024-12-10,2344,9.0,Austria
AI Research Scientist,42986,USD,EN,PT,Predictive Systems,50,Associate,0,2025-02-10,2025-03-19,1958,6.9,Japan
AI Research Scientist,278354,EUR,EX,CT,TechCorp Inc,100,Associate,13,2024-07-02,2024-08-25,1672,6.2,United Kingdom
Data Analyst,117279,USD,MI,PT,Quantum Computing Inc,100,Bachelor,2,2025-03-02,2025-03-23,1412,8.8,Sweden
Autonomous Systems Engineer,58392,USD,EN,CT,Cognitive Computing,50,Associate,1,2025-03-14,2025-04-17,1019,9.3,Canada
Deep Learning Engineer,48855,USD,EN,FL,Predictive Systems,0,PhD,0,2024-02-04,2024-03-23,1676,8.2,South Korea
Deep Learning Engineer,235192,USD,EX,CT,Autonomous Tech,100,PhD,17,2024-01-26,2024-04-01,2354,6.0,Netherlands
AI Product Manager,125516,USD,EX,FT,AI Innovations,100,PhD,12,2025-04-29,2025-06-26,1818,6.9,Australia
Machine Learning Engineer,137806,USD,EX,FL,Smart Analytics,0,PhD,10,2024-04-12,2024-05-21,1281,8.1,Ireland
AI Software Engineer,119615,USD,EX,PT,Future Systems,0,Associate,17,2024-02-01,2024-03-24,1191,5.7,Ireland
NLP Engineer,80759,GBP,EN,FL,DeepTech Ventures,0,Associate,1,2024-02-20,2024-03-12,1403,5.6,Netherlands
Data Engineer,145082,EUR,EX,FT,DeepTech Ventures,100,Bachelor,19,2024-03-10,2024-05-01,2462,5.9,France
Machine Learning Engineer,52192,USD,EN,CT,Predictive Systems,0,Master,0,2024-09-21,2024-10-28,1083,7.1,India
NLP Engineer,285060,GBP,EX,FT,Predictive Systems,50,PhD,19,2025-04-29,2025-05-15,2301,8.8,Norway
Data Scientist,221418,USD,SE,PT,Digital Transformation LLC,0,PhD,8,2024-12-16,2025-02-20,2221,8.9,Denmark
Autonomous Systems Engineer,160641,GBP,EX,FT,AI Innovations,100,Master,17,2024-10-14,2024-11-24,1636,5.7,United Kingdom
AI Software Engineer,49426,USD,MI,FT,TechCorp Inc,100,Bachelor,4,2025-01-26,2025-04-06,2462,9.1,Ireland
AI Specialist,195741,EUR,EX,FL,Future Systems,50,Bachelor,16,2024-04-28,2024-06-08,2424,9.1,Netherlands
ML Ops Engineer,162584,EUR,SE,FT,Digital Transformation LLC,0,Bachelor,5,2024-06-30,2024-07-21,1384,7.2,Germany
ML Ops Engineer,140290,USD,EX,CT,Algorithmic Solutions,50,PhD,10,2024-09-06,2024-10-26,523,5.9,Finland
Machine Learning Engineer,99647,USD,EX,PT,Predictive Systems,0,PhD,15,2025-04-27,2025-07-05,2129,9.5,Austria
Machine Learning Researcher,83390,USD,MI,FT,Neural Networks Co,0,Associate,4,2024-08-17,2024-10-05,2185,8.6,Norway
ML Ops Engineer,71459,GBP,EN,FL,Algorithmic Solutions,0,Master,1,2024-03-01,2024-05-03,2031,9.1,United Kingdom
Data Engineer,47933,USD,EN,FT,Digital Transformation LLC,50,Bachelor,1,2024-07-26,2024-09-19,2199,9.6,Japan
Principal Data Scientist,73404,GBP,EN,CT,Cognitive Computing,50,PhD,1,2025-04-03,2025-05-09,2472,6.4,United Kingdom
Data Engineer,100978,USD,SE,CT,Neural Networks Co,0,Bachelor,7,2024-09-11,2024-10-18,2153,8.7,Ireland
Autonomous Systems Engineer,364585,USD,EX,FT,Cloud AI Solutions,0,PhD,12,2024-12-20,2025-02-01,820,9.7,Denmark
Data Scientist,52922,USD,EN,FL,Cloud AI Solutions,100,Bachelor,1,2025-01-10,2025-03-11,1415,6.5,Israel
Machine Learning Researcher,104295,USD,SE,FT,Autonomous Tech,50,Associate,5,2024-05-05,2024-05-31,1755,7.7,Finland
Machine Learning Researcher,114586,USD,EX,FT,DeepTech Ventures,0,Master,11,2024-02-18,2024-04-03,2238,8.3,France
Deep Learning Engineer,131927,USD,EX,PT,DeepTech Ventures,100,Bachelor,19,2025-04-22,2025-05-09,1928,7.6,Ireland
NLP Engineer,113198,USD,SE,FL,Algorithmic Solutions,50,Associate,7,2024-07-10,2024-08-29,2148,8.9,Sweden
Machine Learning Researcher,64852,USD,MI,FL,Machine Intelligence Group,100,PhD,2,2024-02-18,2024-04-18,988,6.1,India
Machine Learning Engineer,93866,USD,SE,PT,AI Innovations,100,Bachelor,7,2024-08-12,2024-10-16,1164,7.8,Finland
NLP Engineer,160334,USD,SE,FL,Cloud AI Solutions,50,Associate,8,2024-01-08,2024-03-19,952,7.1,Singapore
Machine Learning Researcher,174373,EUR,SE,FT,TechCorp Inc,100,Master,8,2024-10-09,2024-11-07,1009,7.1,Germany
Computer Vision Engineer,42303,USD,EN,PT,Digital Transformation LLC,50,Bachelor,1,2024-04-23,2024-06-11,1283,5.5,France
Robotics Engineer,334881,USD,EX,FL,Predictive Systems,0,Associate,13,2025-03-31,2025-06-12,1486,9.7,United States
Principal Data Scientist,61444,USD,EN,FL,Machine Intelligence Group,100,Bachelor,0,2025-04-19,2025-05-17,531,5.4,France
Autonomous Systems Engineer,178912,EUR,EX,FT,Predictive Systems,100,Associate,19,2024-09-14,2024-11-07,1041,8.7,France
Autonomous Systems Engineer,120626,USD,SE,PT,Future Systems,50,PhD,8,2024-11-29,2024-12-27,1680,6.8,Ireland
NLP Engineer,58220,USD,MI,FT,DeepTech Ventures,0,Master,3,2025-01-26,2025-03-04,1782,8.7,Netherlands
NLP Engineer,154477,USD,SE,FT,Advanced Robotics,100,Master,9,2024-02-17,2024-03-25,2146,6.3,Singapore
Data Scientist,80618,USD,EN,PT,AI Innovations,100,Master,0,2025-01-11,2025-02-17,966,9.8,Australia
Deep Learning Engineer,67330,USD,EN,FL,Future Systems,100,PhD,1,2024-11-13,2024-12-03,2241,5.4,Sweden
AI Architect,61056,USD,MI,CT,Advanced Robotics,100,PhD,2,2024-01-11,2024-02-12,864,5.0,India
Data Analyst,65532,USD,SE,CT,Advanced Robotics,0,PhD,9,2024-05-17,2024-06-18,1149,9.2,Austria
AI Consultant,69941,USD,EN,CT,Quantum Computing Inc,50,Master,0,2024-06-06,2024-07-17,1247,9.0,Israel
Principal Data Scientist,98999,EUR,MI,FT,Smart Analytics,100,PhD,3,2025-02-21,2025-04-12,1339,8.7,Netherlands
Machine Learning Researcher,79265,USD,SE,FT,Digital Transformation LLC,50,PhD,9,2024-01-01,2024-03-13,2219,7.3,Israel
Robotics Engineer,65587,USD,EN,FT,AI Innovations,50,PhD,1,2024-04-22,2024-06-27,2234,7.2,United States
Machine Learning Engineer,57326,USD,EN,FL,Autonomous Tech,0,Master,1,2024-11-03,2024-11-25,530,6.9,India
Data Scientist,35942,USD,EN,CT,Cloud AI Solutions,0,Master,0,2024-05-15,2024-07-14,762,9.0,China
AI Consultant,96345,USD,SE,CT,Algorithmic Solutions,50,Bachelor,6,2024-11-02,2024-11-19,2499,5.3,Singapore
NLP Engineer,49145,USD,EN,CT,Cloud AI Solutions,100,Bachelor,0,2024-06-05,2024-07-07,1314,10.0,Israel
Data Analyst,101052,USD,SE,FT,DataVision Ltd,100,Bachelor,9,2024-10-28,2024-12-26,919,9.9,United Kingdom
Data Scientist,91432,USD,MI,PT,Advanced Robotics,0,Bachelor,3,2024-12-20,2025-02-09,2223,7.4,India
AI Software Engineer,51166,USD,EN,FT,Machine Intelligence Group,50,Associate,1,2024-12-05,2025-02-01,1337,6.2,Israel
Machine Learning Researcher,104276,USD,SE,PT,TechCorp Inc,100,Master,6,2024-02-24,2024-03-29,2399,6.5,India
AI Product Manager,52181,USD,MI,FT,Future Systems,50,PhD,3,2024-07-05,2024-08-23,878,6.5,Singapore
Deep Learning Engineer,157188,EUR,SE,FT,Autonomous Tech,0,Master,5,2024-10-14,2024-12-07,1783,8.7,Germany
Principal Data Scientist,57076,EUR,EN,FL,TechCorp Inc,0,Associate,0,2024-11-29,2024-12-26,2400,8.0,Germany
AI Research Scientist,93987,USD,EN,CT,Smart Analytics,50,Associate,0,2024-12-25,2025-01-31,1562,6.9,United Kingdom
Data Analyst,119251,GBP,SE,FL,Future Systems,0,Master,7,2024-03-19,2024-05-29,1284,9.7,Ireland
Computer Vision Engineer,155564,GBP,SE,PT,Cognitive Computing,100,PhD,6,2024-05-22,2024-08-02,1358,8.7,United Kingdom
Machine Learning Engineer,76190,USD,EN,FT,TechCorp Inc,50,PhD,0,2025-03-20,2025-04-23,1636,6.6,Norway
Head of AI,44319,EUR,EN,CT,Advanced Robotics,0,Master,0,2024-07-17,2024-09-22,605,6.5,France
AI Research Scientist,100608,EUR,SE,CT,AI Innovations,100,PhD,7,2025-03-23,2025-04-27,1234,8.5,Australia
Computer Vision Engineer,92549,EUR,MI,PT,TechCorp Inc,0,Master,2,2024-02-29,2024-04-14,1034,6.5,France
AI Architect,276436,USD,EX,FT,Quantum Computing Inc,50,Master,14,2024-07-26,2024-09-05,1018,6.6,India
AI Software Engineer,132476,USD,MI,CT,Cognitive Computing,100,PhD,4,2024-04-17,2024-05-09,2190,9.3,Denmark
Data Scientist,142597,USD,SE,FL,DeepTech Ventures,100,PhD,6,2024-05-03,2024-05-30,2155,8.9,Sweden
Data Engineer,62047,USD,EN,CT,TechCorp Inc,100,Bachelor,0,2024-08-28,2024-10-21,1109,5.6,Australia
Data Engineer,238935,USD,EX,FL,Quantum Computing Inc,50,Bachelor,11,2024-04-04,2024-05-01,1400,8.5,Canada
Principal Data Scientist,128819,USD,EX,FT,DeepTech Ventures,0,Associate,15,2024-03-18,2024-05-20,1867,5.5,Austria
Autonomous Systems Engineer,114565,USD,EX,FL,Algorithmic Solutions,100,Bachelor,15,2024-01-26,2024-03-17,2174,10.0,China
Data Analyst,123488,USD,EX,PT,Machine Intelligence Group,50,Bachelor,13,2024-07-01,2024-08-21,912,6.9,Ireland
Data Engineer,88655,USD,MI,FL,Advanced Robotics,0,Master,3,2025-02-08,2025-04-01,2102,6.5,Netherlands
Computer Vision Engineer,61796,USD,EN,CT,AI Innovations,100,PhD,0,2025-03-11,2025-04-17,1670,9.2,Australia
AI Software Engineer,91480,USD,MI,FL,Autonomous Tech,100,Bachelor,4,2024-03-31,2024-05-20,1760,8.0,Australia
AI Architect,90744,USD,SE,FL,Future Systems,100,PhD,7,2024-10-06,2024-11-21,1868,7.5,Austria
Head of AI,121411,USD,SE,FL,Autonomous Tech,100,PhD,8,2024-08-16,2024-09-02,2106,8.0,China
AI Specialist,198798,USD,EX,FT,AI Innovations,0,Bachelor,17,2024-09-17,2024-10-23,1141,8.2,Israel
Machine Learning Engineer,153177,EUR,SE,FL,Cloud AI Solutions,0,PhD,7,2024-10-31,2024-12-27,945,6.5,Canada
Data Engineer,54421,GBP,EN,CT,Machine Intelligence Group,0,Master,1,2024-02-07,2024-03-28,1519,8.3,United Kingdom
Machine Learning Engineer,88367,USD,MI,FT,Predictive Systems,100,PhD,2,2024-06-07,2024-08-01,559,5.7,Austria
Machine Learning Researcher,78804,USD,MI,PT,DataVision Ltd,0,Bachelor,3,2024-11-20,2025-01-14,918,8.1,South Korea
Principal Data Scientist,71865,USD,MI,FT,Neural Networks Co,100,Associate,4,2024-03-21,2024-04-17,660,7.2,Singapore
Research Scientist,131832,USD,EX,FL,Neural Networks Co,50,Master,19,2025-04-27,2025-05-25,1113,7.2,Switzerland
NLP Engineer,124593,USD,EX,FT,TechCorp Inc,50,PhD,16,2024-06-27,2024-07-30,2337,6.5,Sweden
Head of AI,163781,USD,EX,FL,Future Systems,0,Bachelor,11,2025-02-06,2025-03-19,694,7.5,Israel
Deep Learning Engineer,94569,GBP,MI,PT,Autonomous Tech,50,Bachelor,2,2024-09-01,2024-11-07,2336,8.5,United Kingdom
AI Software Engineer,95722,EUR,MI,FL,TechCorp Inc,100,Master,2,2024-09-21,2024-11-08,1987,6.5,France
AI Consultant,48201,USD,MI,PT,Cognitive Computing,50,Bachelor,4,2024-10-28,2025-01-04,848,9.4,Finland
ML Ops Engineer,181282,EUR,SE,PT,Future Systems,100,PhD,8,2024-09-16,2024-10-14,1299,6.0,France
AI Software Engineer,157167,USD,SE,FL,Quantum Computing Inc,100,Bachelor,5,2024-03-28,2024-04-19,996,8.9,United States
Computer Vision Engineer,86410,USD,MI,PT,Predictive Systems,0,Master,3,2025-02-12,2025-04-04,1845,7.6,Sweden
Research Scientist,87795,USD,SE,CT,Algorithmic Solutions,100,Master,9,2025-02-13,2025-03-30,2211,7.8,South Korea
Data Analyst,160089,USD,SE,FL,Cloud AI Solutions,0,PhD,9,2024-06-02,2024-07-06,502,5.1,Switzerland
Computer Vision Engineer,138503,USD,EX,CT,Smart Analytics,50,Associate,16,2024-10-13,2024-11-29,606,8.1,South Korea
AI Software Engineer,325483,USD,EX,FL,Machine Intelligence Group,50,Bachelor,10,2024-05-30,2024-06-25,569,7.5,Japan
Computer Vision Engineer,70262,EUR,EN,FL,Cognitive Computing,0,Bachelor,1,2024-07-05,2024-09-03,745,6.6,Germany
AI Software Engineer,69721,EUR,MI,PT,Quantum Computing Inc,100,Associate,2,2024-04-28,2024-06-22,1055,5.3,France
Autonomous Systems Engineer,116060,USD,EX,FL,Machine Intelligence Group,50,Associate,17,2025-04-13,2025-06-05,1333,5.5,China
ML Ops Engineer,85559,USD,MI,CT,Digital Transformation LLC,50,PhD,3,2024-09-28,2024-11-04,926,7.6,Sweden
Deep Learning Engineer,123389,USD,SE,FL,Smart Analytics,50,PhD,5,2024-09-29,2024-11-08,2429,5.5,Australia
AI Consultant,83549,GBP,EN,FL,Digital Transformation LLC,50,PhD,0,2024-03-17,2024-05-10,881,7.9,United Kingdom
AI Research Scientist,49709,USD,EN,FT,Algorithmic Solutions,100,PhD,0,2024-07-24,2024-09-17,1650,10.0,India
Principal Data Scientist,143171,USD,EX,FT,Machine Intelligence Group,0,Bachelor,12,2024-06-25,2024-08-25,1644,8.8,Japan
ML Ops Engineer,226918,USD,EX,CT,Quantum Computing Inc,100,Associate,12,2024-04-20,2024-05-29,689,7.9,Denmark
Machine Learning Engineer,73215,USD,SE,FT,Predictive Systems,50,Bachelor,8,2024-02-27,2024-03-23,1607,5.7,Austria
Data Engineer,162913,EUR,EX,CT,Machine Intelligence Group,100,Associate,13,2024-04-28,2024-07-01,752,9.4,Netherlands
Machine Learning Researcher,73666,USD,SE,CT,Algorithmic Solutions,0,Master,5,2025-03-14,2025-04-11,1415,7.3,South Korea
AI Software Engineer,191317,EUR,EX,PT,Smart Analytics,50,PhD,10,2024-04-05,2024-05-07,1473,9.7,Netherlands
Principal Data Scientist,121248,USD,MI,FT,Machine Intelligence Group,0,Master,2,2024-05-30,2024-08-10,1704,6.2,Sweden
Robotics Engineer,250315,USD,EX,FT,Autonomous Tech,0,Master,18,2024-04-30,2024-06-26,1232,8.2,Canada
AI Architect,50682,USD,MI,FL,AI Innovations,50,Master,3,2025-04-09,2025-06-13,1426,8.8,Austria
AI Product Manager,95298,USD,MI,PT,Algorithmic Solutions,100,PhD,3,2024-05-23,2024-06-27,1640,7.0,Singapore
AI Architect,74008,USD,MI,PT,Neural Networks Co,50,PhD,3,2024-07-05,2024-07-31,2180,5.0,Sweden
Machine Learning Researcher,140196,USD,SE,PT,Cognitive Computing,0,PhD,7,2024-12-14,2024-12-31,1253,5.4,Norway
Principal Data Scientist,141645,USD,MI,FL,Autonomous Tech,100,Associate,4,2024-10-23,2025-01-02,927,6.5,Switzerland
Autonomous Systems Engineer,151691,USD,SE,FL,Cognitive Computing,50,Associate,7,2025-04-18,2025-06-19,1387,6.5,Australia
AI Product Manager,322004,USD,EX,PT,Autonomous Tech,50,Master,15,2025-01-27,2025-03-20,968,6.6,Switzerland
Head of AI,48009,USD,EN,PT,DataVision Ltd,100,Bachelor,1,2025-02-14,2025-03-16,823,9.8,India
Data Engineer,100193,USD,EX,PT,Autonomous Tech,50,Associate,16,2024-04-09,2024-05-28,2157,5.4,Singapore
Data Engineer,94493,USD,EN,CT,Future Systems,100,PhD,1,2025-01-29,2025-03-17,1492,7.3,Switzerland
Machine Learning Engineer,119633,USD,SE,CT,Smart Analytics,50,PhD,8,2024-11-08,2024-12-09,2182,9.9,Ireland
Machine Learning Researcher,228177,GBP,EX,FT,Autonomous Tech,0,Associate,19,2024-11-22,2025-01-20,2005,7.1,Japan
Data Analyst,84822,EUR,EN,CT,Advanced Robotics,0,Master,0,2024-10-14,2024-12-03,1791,7.6,France
AI Product Manager,95269,USD,EN,PT,Cloud AI Solutions,0,Bachelor,1,2024-03-31,2024-05-31,780,6.1,Switzerland
Data Engineer,62906,USD,EN,PT,TechCorp Inc,100,PhD,1,2024-05-27,2024-07-16,1963,9.4,United States
NLP Engineer,65139,USD,MI,PT,Smart Analytics,50,Associate,2,2024-08-30,2024-10-19,2238,6.3,Austria
Robotics Engineer,109005,USD,MI,PT,Algorithmic Solutions,0,PhD,2,2025-04-26,2025-05-31,1279,8.8,Denmark
Head of AI,71242,USD,MI,FL,DeepTech Ventures,0,Bachelor,4,2024-11-22,2025-01-14,964,9.4,Australia
ML Ops Engineer,89287,USD,SE,FT,Cloud AI Solutions,100,Bachelor,6,2024-07-29,2024-09-13,1733,7.2,South Korea
Machine Learning Engineer,179942,USD,EX,PT,AI Innovations,0,Associate,11,2024-06-07,2024-06-26,1557,6.7,Ireland
Research Scientist,48226,USD,EN,FL,DeepTech Ventures,100,PhD,1,2024-02-24,2024-03-15,2476,8.4,Finland
AI Software Engineer,137004,USD,EX,CT,Predictive Systems,50,PhD,16,2025-01-07,2025-03-14,1292,9.0,Finland
AI Consultant,94505,USD,SE,CT,Autonomous Tech,100,Associate,7,2024-04-22,2024-06-11,1464,5.6,Finland
AI Product Manager,125795,USD,EX,CT,DeepTech Ventures,100,Master,12,2024-07-17,2024-09-09,1134,8.8,Israel
Machine Learning Researcher,79342,USD,MI,PT,Algorithmic Solutions,0,Bachelor,4,2024-09-11,2024-10-06,1900,7.7,United States
Data Engineer,37356,USD,EN,FL,AI Innovations,0,PhD,0,2024-02-17,2024-04-05,1965,9.8,Austria
AI Consultant,155145,EUR,EX,CT,Smart Analytics,50,Master,14,2025-01-18,2025-02-19,2443,8.7,Singapore
Machine Learning Engineer,91143,USD,SE,FT,DataVision Ltd,50,Associate,9,2024-12-30,2025-02-08,676,6.5,United States
Data Engineer,125119,EUR,MI,CT,AI Innovations,100,Bachelor,3,2024-10-09,2024-12-03,2010,7.1,Netherlands
AI Consultant,79491,USD,MI,FL,Machine Intelligence Group,100,Associate,4,2024-07-03,2024-09-11,1182,9.9,Singapore
Data Engineer,72491,EUR,MI,PT,Neural Networks Co,0,Bachelor,4,2024-09-05,2024-11-10,834,8.8,Netherlands
AI Research Scientist,127734,USD,MI,FL,Digital Transformation LLC,50,Master,4,2025-03-28,2025-06-03,1344,8.8,Denmark
Principal Data Scientist,40661,USD,EN,PT,Cloud AI Solutions,50,Associate,0,2025-02-21,2025-03-23,1045,5.4,South Korea
AI Architect,118746,USD,MI,PT,Predictive Systems,0,Bachelor,4,2024-11-08,2024-11-25,782,8.8,Norway
AI Specialist,63471,USD,EN,FT,AI Innovations,0,Master,0,2024-06-06,2024-07-02,1947,7.9,Canada
Machine Learning Researcher,90174,USD,MI,FT,Cloud AI Solutions,100,Associate,3,2025-04-15,2025-06-08,794,7.3,Denmark
AI Consultant,98908,USD,MI,PT,Cognitive Computing,0,Master,3,2024-03-04,2024-05-09,1217,9.7,Sweden
ML Ops Engineer,58885,USD,EN,FL,Cognitive Computing,100,Associate,1,2024-09-27,2024-12-05,1698,6.6,China
Data Analyst,131006,USD,EN,FT,Algorithmic Solutions,100,Bachelor,1,2024-07-23,2024-08-31,2120,9.3,Switzerland
