occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors;"=""53-1047""";47.1;48.8;3.6;1.7
Air transportation workers;"=""53-2000""";1.8;1.8;2.7;0.0
Aircraft pilots and flight engineers;"=""53-2010""";1.5;1.6;2.7;0.0
Airline pilots, copilots, and flight engineers;"=""53-2011""";0.2;0.2;2.4;0.0
Commercial pilots;"=""53-2012""";1.4;1.4;2.7;0.0
Air traffic controllers and airfield operations specialists;"=""53-2020""";0.2;0.2;2.5;0.0
Airfield operations specialists;"=""53-2022""";0.2;0.2;2.4;0.0
Motor vehicle operators;"=""53-3000""";210.8;220.4;4.5;9.5
Driver/sales workers and truck drivers;"=""53-3030""";209.4;218.9;4.5;9.5
Driver/sales workers;"=""53-3031""";16.2;18.5;14.3;2.3
Heavy and tractor-trailer truck drivers;"=""53-3032""";156.3;162.2;3.8;5.9
Light truck drivers;"=""53-3033""";36.9;38.2;3.5;1.3
Passenger vehicle drivers;"=""53-3050""";0.5;0.6;7.7;0.0
Shuttle drivers and chauffeurs;"=""53-3053""";0.5;0.6;7.7;0.0
Motor vehicle operators, all other;"=""53-3099""";0.8;0.9;3.8;0.0
Rail transportation workers;"=""53-4000""";0.4;0.4;3.3;0.0
Locomotive engineers and operators;"=""53-4010""";0.2;0.2;4.2;0.0
Locomotive engineers;"=""53-4011""";0.1;0.1;2.2;0.0
Rail yard engineers, dinkey operators, and hostlers;"=""53-4013""";0.1;0.1;5.8;0.0
Railroad brake, signal, and switch operators and locomotive firers;"=""53-4022""";0.1;0.1;-0.1;0.0
Railroad conductors and yardmasters;"=""53-4031""";0.1;0.1;3.8;0.0
Water transportation workers;"=""53-5000""";0.5;0.5;3.7;0.0
Sailors and marine oilers;"=""53-5011""";0.2;0.2;3.4;0.0
Ship and boat captains and operators;"=""53-5020""";0.3;0.3;4.1;0.0
Captains, mates, and pilots of water vessels;"=""53-5021""";0.2;0.3;4.4;0.0
Ship engineers;"=""53-5031""";0.1;0.1;3.3;0.0
Other transportation workers;"=""53-6000""";1.6;1.6;2.7;0.0
Automotive and watercraft service attendants;"=""53-6031""";0.1;0.1;2.1;0.0
Transportation inspectors;"=""53-6051""";1.1;1.1;1.4;0.0
Transportation workers, all other;"=""53-6099""";0.2;0.2;6.7;0.0
Material moving workers;"=""53-7000""";901.8;917.6;1.8;15.8
Conveyor operators and tenders;"=""53-7011""";5.7;5.7;1.6;0.1
Crane and tower operators;"=""53-7021""";8.9;9.1;2.0;0.2
Hoist and winch operators;"=""53-7041""";0.7;0.7;-1.7;0.0
Industrial truck and tractor operators;"=""53-7051""";181.1;184.7;2.0;3.7
Laborers and material movers;"=""53-7060""";699.9;711.7;1.7;11.8
Cleaners of vehicles and equipment;"=""53-7061""";28.5;30.2;6.2;1.8
Laborers and freight, stock, and material movers, hand;"=""53-7062""";405.5;414.7;2.2;9.1
Machine feeders and offbearers;"=""53-7063""";30.1;25.3;-15.9;-4.8
Packers and packagers, hand;"=""53-7064""";147.6;151.3;2.5;3.7
Stockers and order fillers;"=""53-7065""";88.2;90.1;2.2;2.0
Pumping station operators;"=""53-7070""";0.9;1.0;4.0;0.0
Gas compressor and gas pumping station operators;"=""53-7071""";0.2;0.2;3.7;0.0
Pump operators, except wellhead pumpers;"=""53-7072""";0.5;0.5;6.6;0.0
Wellhead pumpers;"=""53-7073""";0.2;0.2;-2.2;0.0
Refuse and recyclable material collectors;"=""53-7081""";0.1;0.1;-3.1;0.0
Tank car, truck, and ship loaders;"=""53-7121""";1.7;1.8;2.5;0.0
Material moving workers, all other;"=""53-7199""";2.7;2.8;2.2;0.1
Total, all occupations;"=""00-0000""";8017.9;8398.0;4.7;380.1
Management occupations;"=""11-0000""";628.9;671.2;6.7;42.3
Top executives;"=""11-1000""";271.9;282.6;3.9;10.7
Chief executives;"=""11-1011""";7.5;7.8;4.0;0.3
General and operations managers;"=""11-1021""";264.3;274.7;3.9;10.4
Advertising, marketing, promotions, public relations, and sales managers;"=""11-2000""";14.3;14.8;3.8;0.5
Advertising and promotions managers;"=""11-2011""";0.1;0.1;-11.2;0.0
Marketing and sales managers;"=""11-2020""";13.9;14.4;3.9;0.5
Marketing managers;"=""11-2021""";4.3;4.4;4.2;0.2
Sales managers;"=""11-2022""";9.6;10.0;3.8;0.4
Public relations and fundraising managers;"=""11-2030""";0.3;0.3;3.4;0.0
Public relations managers;"=""11-2032""";0.2;0.2;3.2;0.0
Fundraising managers;"=""11-2033""";0.1;0.1;3.8;0.0
Operations specialties managers;"=""11-3000""";43.0;46.8;8.9;3.8
Administrative services and facilities managers;"=""11-3010""";10.5;10.9;4.1;0.4
Administrative services managers;"=""11-3012""";9.2;9.6;4.2;0.4
Facilities managers;"=""11-3013""";1.3;1.4;3.8;0.1
Computer and information systems managers;"=""11-3021""";2.6;2.9;10.6;0.3
Financial managers;"=""11-3031""";18.2;20.8;14.5;2.6
Industrial production managers;"=""11-3051""";2.4;2.5;4.3;0.1
Purchasing managers;"=""11-3061""";2.6;2.7;3.6;0.1
Transportation, storage, and distribution managers;"=""11-3071""";3.3;3.4;4.2;0.1
Compensation and benefits managers;"=""11-3111""";0.1;0.1;-1.8;0.0
Human resources managers;"=""11-3121""";2.9;3.0;3.8;0.1
Training and development managers;"=""11-3131""";0.4;0.4;4.1;0.0
Other management occupations;"=""11-9000""";299.8;327.1;9.1;27.3
Construction managers;"=""11-9021""";270.2;296.3;9.7;26.1
Architectural and engineering managers;"=""11-9041""";3.4;3.6;4.1;0.1
Property, real estate, and community association managers;"=""11-9141""";6.0;6.1;3.1;0.2
Social and community service managers;"=""11-9151""";0.1;0.1;2.1;0.0
Managers, all other;"=""11-9199""";19.9;20.7;4.1;0.8
Business and financial operations occupations;"=""13-0000""";487.1;497.4;2.1;10.3
Business operations specialists;"=""13-1000""";423.0;430.7;1.8;7.8
Buyers and purchasing agents;"=""13-1020""";21.1;23.0;8.7;1.8
Claims adjusters, appraisers, examiners, and investigators;"=""13-1030""";0.1;0.1;-7.0;0.0
Claims adjusters, examiners, and investigators;"=""13-1031""";0.1;0.1;-7.0;0.0
Compliance officers;"=""13-1041""";5.7;6.0;4.1;0.2
Cost estimators;"=""13-1051""";125.1;119.5;-4.5;-5.6
Human resources workers;"=""13-1070""";18.8;19.5;4.0;0.8
Human resources specialists;"=""13-1071""";18.6;19.3;4.0;0.7
Labor relations specialists;"=""13-1075""";0.2;0.2;3.1;0.0
Logisticians and project management specialists;"=""13-1080""";207.4;216.1;4.2;8.6
Logisticians;"=""13-1081""";2.3;2.7;16.5;0.4
Project management specialists;"=""13-1082""";205.1;213.4;4.0;8.3
Management analysts;"=""13-1111""";4.0;4.2;3.9;0.2
Meeting, convention, and event planners;"=""13-1121""";0.5;0.5;2.5;0.0
Fundraisers;"=""13-1131""";0.3;0.3;3.2;0.0
Compensation, benefits, and job analysis specialists;"=""13-1141""";0.8;0.8;3.6;0.0
Training and development specialists;"=""13-1151""";3.7;4.1;8.9;0.3
Market research analysts and marketing specialists;"=""13-1161""";16.5;17.2;3.8;0.6
Business operations specialists, all other;"=""13-1199""";18.8;19.5;3.8;0.7
Financial specialists;"=""13-2000""";64.1;66.7;4.0;2.6
Accountants and auditors;"=""13-2011""";60.4;62.8;4.1;2.5
Budget analysts;"=""13-2031""";0.6;0.6;4.0;0.0
Credit analysts;"=""13-2041""";0.1;0.1;-7.1;0.0
Financial analysts and advisors;"=""13-2050""";1.9;2.0;3.5;0.1
Financial and investment analysts;"=""13-2051""";1.6;1.6;3.4;0.1
Financial risk specialists;"=""13-2054""";0.3;0.3;4.3;0.0
Credit counselors and loan officers;"=""13-2070""";0.4;0.5;3.2;0.0
Loan officers;"=""13-2072""";0.4;0.4;3.4;0.0
Financial specialists, all other;"=""13-2099""";0.6;0.6;4.0;0.0
Computer and mathematical occupations;"=""15-0000""";23.3;23.5;0.8;0.2
Computer occupations;"=""15-1200""";22.4;22.4;-0.1;0.0
Computer and information analysts;"=""15-1210""";1.8;1.9;7.2;0.1
Computer systems analysts;"=""15-1211""";1.3;1.4;2.8;0.0
Information security analysts;"=""15-1212""";0.4;0.5;21.5;0.1
Computer support specialists;"=""15-1230""";9.0;8.8;-1.8;-0.2
Computer network support specialists;"=""15-1231""";1.6;1.6;3.4;0.1
Computer user support specialists;"=""15-1232""";7.4;7.2;-2.9;-0.2
Database and network administrators and architects;"=""15-1240""";4.8;4.7;-2.7;-0.1
Computer network architects;"=""15-1241""";0.9;1.0;9.0;0.1
Database administrators;"=""15-1242""";0.3;0.3;3.2;0.0
Database architects;"=""15-1243""";0.3;0.3;4.7;0.0
Network and computer systems administrators;"=""15-1244""";3.3;3.1;-7.2;-0.2
Software and web developers, programmers, and testers;"=""15-1250""";5.0;5.0;1.7;0.1
Computer programmers;"=""15-1251""";1.1;0.9;-17.0;-0.2
Software developers;"=""15-1252""";2.9;3.1;8.4;0.2
Software quality assurance analysts and testers;"=""15-1253""";0.2;0.2;2.0;0.0
Web developers;"=""15-1254""";0.5;0.5;4.0;0.0
Web and digital interface designers;"=""15-1255""";0.3;0.3;3.5;0.0
Computer occupations, all other;"=""15-1299""";1.9;2.0;3.7;0.1
Mathematical science occupations;"=""15-2000""";0.8;1.0;24.8;0.2
Operations research analysts;"=""15-2031""";0.4;0.4;19.2;0.1
Data scientists;"=""15-2051""";0.4;0.6;30.2;0.1
Architecture and engineering occupations;"=""17-0000""";105.8;110.3;4.2;4.5
Architects, surveyors, and cartographers;"=""17-1000""";8.9;9.2;4.1;0.4
Architects, except naval;"=""17-1010""";4.8;5.0;4.2;0.2
Architects, except landscape and naval;"=""17-1011""";4.4;4.6;4.2;0.2
Landscape architects;"=""17-1012""";0.4;0.4;3.5;0.0
Surveyors, cartographers, and photogrammetrists;"=""17-1020""";4.1;4.2;3.9;0.2
Surveyors;"=""17-1022""";4.0;4.2;3.9;0.2
Engineers;"=""17-2000""";65.5;69.3;5.7;3.7
Civil engineers;"=""17-2051""";42.9;45.1;5.0;2.2
Electrical and electronics engineers;"=""17-2070""";9.1;9.5;4.1;0.4
Electrical engineers;"=""17-2071""";8.3;8.7;4.4;0.4
Electronics engineers, except computer;"=""17-2072""";0.8;0.8;1.0;0.0
Environmental engineers;"=""17-2081""";0.3;0.3;3.9;0.0
Industrial engineers, including health and safety;"=""17-2110""";3.7;4.1;8.3;0.3
Health and safety engineers, except mining safety engineers and inspectors;"=""17-2111""";2.3;2.5;4.7;0.1
Industrial engineers;"=""17-2112""";1.4;1.6;14.2;0.2
Marine engineers and naval architects;"=""17-2121""";0.1;0.1;4.3;0.0
Mechanical engineers;"=""17-2141""";5.4;6.1;13.5;0.7
Engineers, all other;"=""17-2199""";3.4;3.5;3.9;0.1
Drafters, engineering technicians, and mapping technicians;"=""17-3000""";31.4;31.8;1.2;0.4
Drafters;"=""17-3010""";23.7;23.8;0.8;0.2
Architectural and civil drafters;"=""17-3011""";13.2;13.7;4.1;0.5
Electrical and electronics drafters;"=""17-3012""";3.6;3.6;1.2;0.0
Mechanical drafters;"=""17-3013""";4.8;4.6;-5.3;-0.3
Drafters, all other;"=""17-3019""";2.1;1.9;-7.2;-0.1
Engineering technologists and technicians, except drafters;"=""17-3020""";6.0;6.1;2.2;0.1
Civil engineering technologists and technicians;"=""17-3022""";1.6;1.6;2.7;0.0
Electrical and electronic engineering technologists and technicians;"=""17-3023""";3.1;3.1;1.7;0.1
Electro-mechanical and mechatronics technologists and technicians;"=""17-3024""";0.1;0.1;-3.6;0.0
Environmental engineering technologists and technicians;"=""17-3025""";0.2;0.2;-0.7;0.0
Industrial engineering technologists and technicians;"=""17-3026""";0.1;0.1;3.9;0.0
Mechanical engineering technologists and technicians;"=""17-3027""";0.2;0.2;5.0;0.0
Calibration technologists and technicians;"=""17-3028""";0.2;0.2;3.8;0.0
Engineering technologists and technicians, except drafters, all other;"=""17-3029""";0.5;0.5;5.0;0.0
Surveying and mapping technicians;"=""17-3031""";1.7;1.8;4.3;0.1
Life, physical, and social science occupations;"=""19-0000""";22.1;25.2;14.1;3.1
Life scientists;"=""19-1000""";0.2;0.2;3.9;0.0
Agricultural and food scientists;"=""19-1010""";0.1;0.1;4.0;0.0
Physical scientists;"=""19-2000""";0.5;0.5;5.5;0.0
Chemists and materials scientists;"=""19-2030""";0.2;0.2;4.6;0.0
Chemists;"=""19-2031""";0.1;0.1;5.1;0.0
Materials scientists;"=""19-2032""";0.1;0.1;3.3;0.0
Environmental scientists and geoscientists;"=""19-2040""";0.3;0.3;6.0;0.0
Environmental scientists and specialists, including health;"=""19-2041""";0.2;0.2;6.3;0.0
Geoscientists, except hydrologists and geographers;"=""19-2042""";0.1;0.1;5.2;0.0
Social scientists and related workers;"=""19-3000""";0.2;0.3;2.6;0.0
Urban and regional planners;"=""19-3051""";0.2;0.2;3.6;0.0
Life, physical, and social science technicians;"=""19-4000""";1.3;1.4;5.0;0.1
Chemical technicians;"=""19-4031""";0.9;0.9;5.3;0.0
Environmental science and geoscience technicians;"=""19-4040""";0.2;0.2;5.0;0.0
Environmental science and protection technicians, including health;"=""19-4042""";0.1;0.1;5.0;0.0
Miscellaneous life, physical, and social science technicians;"=""19-4090""";0.2;0.2;3.5;0.0
Life, physical, and social science technicians, all other;"=""19-4099""";0.2;0.2;3.5;0.0
Occupational health and safety specialists and technicians;"=""19-5000""";19.9;22.9;15.2;3.0
Occupational health and safety specialists;"=""19-5011""";17.6;20.5;16.1;2.8
Occupational health and safety technicians;"=""19-5012""";2.3;2.4;7.9;0.2
Community and social service occupations;"=""21-0000""";0.2;0.2;3.1;0.0
Counselors, social workers, and other community and social service specialists;"=""21-1000""";0.2;0.2;3.1;0.0
Miscellaneous community and social service specialists;"=""21-1090""";0.2;0.2;3.0;0.0
Social and human service assistants;"=""21-1093""";0.1;0.1;2.8;0.0
Community and social service specialists, all other;"=""21-1099""";0.1;0.1;3.4;0.0
Legal occupations;"=""23-0000""";2.7;2.8;3.1;0.1
Lawyers, judges, and related workers;"=""23-1000""";1.9;2.0;3.9;0.1
Lawyers and judicial law clerks;"=""23-1010""";1.9;2.0;3.9;0.1
Lawyers;"=""23-1011""";1.9;2.0;3.9;0.1
Legal support workers;"=""23-2000""";0.7;0.8;1.1;0.0
Paralegals and legal assistants;"=""23-2011""";0.5;0.5;-0.3;0.0
Miscellaneous legal support workers;"=""23-2090""";0.3;0.3;3.2;0.0
Title examiners, abstractors, and searchers;"=""23-2093""";0.2;0.2;3.2;0.0
Legal support workers, all other;"=""23-2099""";0.1;0.1;3.2;0.0
Educational instruction and library occupations;"=""25-0000""";0.2;0.2;4.5;0.0
Other teachers and instructors;"=""25-3000""";0.2;0.2;5.1;0.0
Self-enrichment teachers;"=""25-3021""";0.2;0.2;5.3;0.0
Arts, design, entertainment, sports, and media occupations;"=""27-0000""";12.5;12.8;2.4;0.3
Art and design workers;"=""27-1000""";9.0;9.3;3.2;0.3
Artists and related workers;"=""27-1010""";0.2;0.2;1.5;0.0
Designers;"=""27-1020""";8.8;9.1;3.3;0.3
Commercial and industrial designers;"=""27-1021""";1.0;1.1;4.2;0.0
Graphic designers;"=""27-1024""";1.4;1.5;3.8;0.1
Interior designers;"=""27-1025""";5.6;5.7;2.9;0.2
Merchandise displayers and window trimmers;"=""27-1026""";0.1;0.1;0.9;0.0
Designers, all other;"=""27-1029""";0.7;0.7;4.1;0.0
Media and communication workers;"=""27-3000""";1.5;1.5;3.0;0.0
Public relations specialists;"=""27-3031""";1.2;1.2;4.0;0.0
Writers and editors;"=""27-3040""";0.3;0.3;-1.5;0.0
Technical writers;"=""27-3042""";0.2;0.2;-2.4;0.0
Writers and authors;"=""27-3043""";0.1;0.1;1.2;0.0
Media and communication equipment workers;"=""27-4000""";2.0;2.0;-1.9;0.0
Broadcast, sound, and lighting technicians;"=""27-4010""";1.9;1.9;-2.0;0.0
Audio and video technicians;"=""27-4011""";1.5;1.5;0.2;0.0
Lighting technicians;"=""27-4015""";0.4;0.3;-10.2;0.0
Television, video, and film camera operators and editors;"=""27-4030""";0.1;0.1;-2.0;0.0
Healthcare practitioners and technical occupations;"=""29-0000""";0.1;0.1;5.3;0.0
Healthcare diagnosing or treating practitioners;"=""29-1000""";0.1;0.1;5.3;0.0
Healthcare support occupations;"=""31-0000""";0.1;0.1;3.3;0.0
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides";"=""31-1100""";0.1;0.1;3.4;0.0
Home health and personal care aides;"=""31-1120""";0.1;0.1;3.4;0.0
Protective service occupations;"=""33-0000""";8.3;8.5;2.4;0.2
Supervisors of protective service workers;"=""33-1000""";0.3;0.4;3.5;0.0
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";0.3;0.4;3.5;0.0
First-line supervisors of protective service workers, all other;"=""33-1099""";0.3;0.3;3.7;0.0
Firefighting and prevention workers;"=""33-2000""";0.3;0.3;5.4;0.0
Fire inspectors and investigators;"=""33-2021""";0.2;0.2;2.0;0.0
Other protective service workers;"=""33-9000""";7.7;7.8;2.2;0.2
Security guards and gambling surveillance officers;"=""33-9030""";1.6;1.6;-4.1;-0.1
Security guards;"=""33-9032""";1.6;1.6;-4.1;-0.1
Miscellaneous protective service workers;"=""33-9090""";6.0;6.3;3.9;0.2
Crossing guards and flaggers;"=""33-9091""";5.8;6.0;4.0;0.2
Protective service workers, all other;"=""33-9099""";0.2;0.2;0.6;0.0
Food preparation and serving related occupations;"=""35-0000""";1.0;1.0;3.2;0.0
Supervisors of food preparation and serving workers;"=""35-1000""";0.1;0.1;2.2;0.0
Cooks and food preparation workers;"=""35-2000""";0.5;0.5;5.2;0.0
Cooks;"=""35-2010""";0.3;0.4;5.6;0.0
Cooks, institution and cafeteria;"=""35-2012""";0.2;0.2;5.2;0.0
Cooks, restaurant;"=""35-2014""";0.1;0.1;6.8;0.0
Food preparation workers;"=""35-2021""";0.1;0.1;4.2;0.0
Food and beverage serving workers;"=""35-3000""";0.4;0.4;1.1;0.0
Waiters and waitresses;"=""35-3031""";0.2;0.2;0.8;0.0
Other food preparation and serving related workers;"=""35-9000""";0.1;0.1;1.3;0.0
Building and grounds cleaning and maintenance occupations;"=""37-0000""";38.6;40.3;4.3;1.7
Supervisors of building and grounds cleaning and maintenance workers;"=""37-1000""";2.3;2.4;4.4;0.1
First-line supervisors of housekeeping and janitorial workers;"=""37-1011""";0.8;0.9;3.7;0.0
First-line supervisors of landscaping, lawn service, and groundskeeping workers;"=""37-1012""";1.4;1.5;4.9;0.1
Building cleaning and pest control workers;"=""37-2000""";20.7;21.6;4.1;0.8
Building cleaning workers;"=""37-2010""";20.7;21.6;4.1;0.8
Janitors and cleaners, except maids and housekeeping cleaners;"=""37-2011""";19.2;20.0;4.1;0.8
Maids and housekeeping cleaners;"=""37-2012""";1.0;1.1;3.7;0.0
Building cleaning workers, all other;"=""37-2019""";0.5;0.5;4.6;0.0
Grounds maintenance workers;"=""37-3000""";15.6;16.3;4.7;0.7
Landscaping and groundskeeping workers;"=""37-3011""";14.5;15.2;4.7;0.7
Tree trimmers and pruners;"=""37-3013""";0.9;1.0;4.8;0.0
Grounds maintenance workers, all other;"=""37-3019""";0.1;0.2;4.7;0.0
Personal care and service occupations;"=""39-0000""";0.6;0.6;2.5;0.0
Animal care and service workers;"=""39-2000""";0.1;0.1;3.4;0.0
Entertainment attendants and related workers;"=""39-3000""";0.3;0.3;1.9;0.0
Miscellaneous entertainment attendants and related workers;"=""39-3090""";0.2;0.2;1.9;0.0
Amusement and recreation attendants;"=""39-3091""";0.2;0.2;1.9;0.0
Baggage porters, bellhops, and concierges;"=""39-6000""";0.1;0.1;2.7;0.0
Concierges;"=""39-6012""";0.1;0.1;2.7;0.0
Other personal care and service workers;"=""39-9000""";0.1;0.1;2.8;0.0
Sales and related occupations;"=""41-0000""";169.4;170.5;0.7;1.1
Supervisors of sales workers;"=""41-1000""";5.8;6.0;3.4;0.2
First-line supervisors of retail sales workers;"=""41-1011""";1.1;1.1;3.6;0.0
First-line supervisors of non-retail sales workers;"=""41-1012""";4.7;4.9;3.3;0.2
Retail sales workers;"=""41-2000""";10.3;10.6;2.6;0.3
Cashiers;"=""41-2010""";0.5;0.5;-12.0;-0.1
Cashiers;"=""41-2011""";0.5;0.5;-12.0;-0.1
Counter and rental clerks and parts salespersons;"=""41-2020""";1.8;1.9;4.6;0.1
Counter and rental clerks;"=""41-2021""";1.2;1.3;4.3;0.1
Parts salespersons;"=""41-2022""";0.6;0.6;5.3;0.0
Retail salespersons;"=""41-2031""";8.0;8.3;3.2;0.3
Sales representatives, services;"=""41-3000""";110.5;111.1;0.6;0.7
Sales representatives of services, except advertising, insurance, financial services, and travel;"=""41-3091""";110.4;111.0;0.6;0.7
Sales representatives, wholesale and manufacturing;"=""41-4000""";22.6;22.6;0.0;0.0
Sales representatives, wholesale and manufacturing, technical and scientific products;"=""41-4011""";2.6;2.6;-2.6;-0.1
Sales representatives, wholesale and manufacturing, except technical and scientific products;"=""41-4012""";20.0;20.0;0.4;0.1
Other sales and related workers;"=""41-9000""";20.2;20.2;-0.1;0.0
Models, demonstrators, and product promoters;"=""41-9010""";0.8;0.8;4.0;0.0
Demonstrators and product promoters;"=""41-9011""";0.8;0.8;4.0;0.0
Real estate brokers and sales agents;"=""41-9020""";12.1;12.5;3.2;0.4
Real estate brokers;"=""41-9021""";0.8;0.8;3.3;0.0
Real estate sales agents;"=""41-9022""";11.3;11.7;3.2;0.4
Sales engineers;"=""41-9031""";1.2;1.2;2.0;0.0
Telemarketers;"=""41-9041""";3.2;2.6;-17.5;-0.6
Miscellaneous sales and related workers;"=""41-9090""";3.0;3.1;3.2;0.1
Door-to-door sales workers, news and street vendors, and related workers;"=""41-9091""";0.7;0.7;2.7;0.0
Sales and related workers, all other;"=""41-9099""";2.3;2.3;3.3;0.1
Office and administrative support occupations;"=""43-0000""";728.5;690.8;-5.2;-37.7
Supervisors of office and administrative support workers;"=""43-1000""";53.6;50.2;-6.3;-3.4
First-line supervisors of office and administrative support workers;"=""43-1011""";53.6;50.2;-6.3;-3.4
Financial clerks;"=""43-3000""";159.8;148.0;-7.3;-11.7
Bill and account collectors;"=""43-3011""";1.6;1.5;-6.5;-0.1
Billing and posting clerks;"=""43-3021""";9.7;9.1;-6.5;-0.6
Bookkeeping, accounting, and auditing clerks;"=""43-3031""";132.0;123.5;-6.4;-8.5
Payroll and timekeeping clerks;"=""43-3051""";13.9;11.6;-16.7;-2.3
Procurement clerks;"=""43-3061""";2.3;2.2;-6.7;-0.2
Financial clerks, all other;"=""43-3099""";0.2;0.2;1.6;0.0
Information and record clerks;"=""43-4000""";63.4;59.5;-6.1;-3.9
Customer service representatives;"=""43-4051""";38.6;36.0;-6.6;-2.5
File clerks;"=""43-4071""";1.1;0.9;-17.2;-0.2
Interviewers, except eligibility and loan;"=""43-4111""";0.1;0.1;-6.8;0.0
Loan interviewers and clerks;"=""43-4131""";0.5;0.5;3.2;0.0
Order clerks;"=""43-4151""";0.9;0.8;-18.1;-0.2
Human resources assistants, except payroll and timekeeping;"=""43-4161""";1.9;1.8;-6.8;-0.1
Receptionists and information clerks;"=""43-4171""";19.2;18.3;-4.7;-0.9
Information and record clerks, all other;"=""43-4199""";1.0;1.0;3.7;0.0
Material recording, scheduling, dispatching, and distributing workers;"=""43-5000""";51.3;51.4;0.2;0.1
Couriers and messengers;"=""43-5021""";0.7;0.8;4.5;0.0
Dispatchers;"=""43-5030""";19.5;19.5;-0.1;0.0
Dispatchers, except police, fire, and ambulance;"=""43-5032""";19.5;19.5;-0.1;0.0
Meter readers, utilities;"=""43-5041""";0.1;0.1;-10.3;0.0
Production, planning, and expediting clerks;"=""43-5061""";20.5;21.3;3.9;0.8
Shipping, receiving, and inventory clerks;"=""43-5071""";9.8;9.1;-6.8;-0.7
Weighers, measurers, checkers, and samplers, recordkeeping;"=""43-5111""";0.7;0.6;-6.8;0.0
Secretaries and administrative assistants;"=""43-6000""";147.7;145.9;-1.2;-1.8
Executive secretaries and executive administrative assistants;"=""43-6011""";18.6;18.3;-1.2;-0.2
Secretaries and administrative assistants, except legal, medical, and executive;"=""43-6014""";129.1;127.5;-1.2;-1.6
Other office and administrative support workers;"=""43-9000""";252.6;235.6;-6.7;-17.0
Data entry and information processing workers;"=""43-9020""";2.4;1.7;-27.5;-0.6
Data entry keyers;"=""43-9021""";2.3;1.7;-27.4;-0.6
Insurance claims and policy processing clerks;"=""43-9041""";0.1;0.1;3.4;0.0
Mail clerks and mail machine operators, except postal service;"=""43-9051""";0.1;0.1;-5.8;0.0
Office clerks, general;"=""43-9061""";247.7;231.6;-6.5;-16.1
Office machine operators, except computer;"=""43-9071""";0.1;0.1;-17.4;0.0
Office and administrative support workers, all other;"=""43-9199""";2.2;2.0;-8.7;-0.2
Farming, fishing, and forestry occupations;"=""45-0000""";1.0;1.0;1.2;0.0
Agricultural workers;"=""45-2000""";0.7;0.7;-0.7;0.0
Miscellaneous agricultural workers;"=""45-2090""";0.7;0.7;-0.7;0.0
Farmworkers and laborers, crop, nursery, and greenhouse;"=""45-2092""";0.3;0.3;-1.1;0.0
Farmworkers, farm, ranch, and aquacultural animals;"=""45-2093""";0.3;0.3;-1.2;0.0
Forest, conservation, and logging workers;"=""45-4000""";0.2;0.3;5.6;0.0
Logging workers;"=""45-4020""";0.2;0.3;5.8;0.0
Fallers;"=""45-4021""";0.1;0.1;-0.6;0.0
Logging equipment operators;"=""45-4022""";0.1;0.1;9.8;0.0
Construction and extraction occupations;"=""47-0000""";4703.6;4986.0;6.0;282.4
Supervisors of construction and extraction workers;"=""47-1000""";617.3;654.5;6.0;37.2
First-line supervisors of construction trades and extraction workers;"=""47-1011""";617.3;654.5;6.0;37.2
Construction trades workers;"=""47-2000""";3796.2;4035.1;6.3;238.9
Boilermakers;"=""47-2011""";7.7;7.5;-2.5;-0.2
Brickmasons, blockmasons, and stonemasons;"=""47-2020""";63.4;64.1;1.1;0.7
Brickmasons and blockmasons;"=""47-2021""";55.7;56.9;2.1;1.2
Stonemasons;"=""47-2022""";7.7;7.2;-6.1;-0.5
Carpenters;"=""47-2031""";606.7;627.9;3.5;21.3
Carpet, floor, and tile installers and finishers;"=""47-2040""";67.7;72.1;6.6;4.5
Carpet installers;"=""47-2041""";8.9;7.5;-15.0;-1.3
Floor layers, except carpet, wood, and hard tiles;"=""47-2042""";19.9;21.9;10.2;2.0
Floor sanders and finishers;"=""47-2043""";4.5;4.6;0.7;0.0
Tile and stone setters;"=""47-2044""";34.4;38.2;10.9;3.8
Cement masons, concrete finishers, and terrazzo workers;"=""47-2050""";191.5;189.4;-1.1;-2.1
Cement masons and concrete finishers;"=""47-2051""";190.0;188.0;-1.1;-2.0
Terrazzo workers and finishers;"=""47-2053""";1.4;1.3;-8.9;-0.1
Construction laborers;"=""47-2061""";866.5;946.5;9.2;80.0
Construction equipment operators;"=""47-2070""";324.0;339.0;4.6;15.0
Paving, surfacing, and tamping equipment operators;"=""47-2071""";34.7;36.1;4.1;1.4
Pile driver operators;"=""47-2072""";2.9;3.0;4.7;0.1
Operating engineers and other construction equipment operators;"=""47-2073""";286.4;299.8;4.7;13.5
Drywall installers, ceiling tile installers, and tapers;"=""47-2080""";104.7;106.0;1.3;1.3
Drywall and ceiling tile installers;"=""47-2081""";89.1;90.9;2.0;1.8
Tapers;"=""47-2082""";15.5;15.1;-3.0;-0.5
Electricians;"=""47-2111""";570.3;645.1;13.1;74.8
Glaziers;"=""47-2121""";43.3;44.9;3.9;1.7
Insulation workers;"=""47-2130""";58.8;60.8;3.4;2.0
Insulation workers, floor, ceiling, and wall;"=""47-2131""";37.2;38.2;2.5;0.9
